STD_YM,o_id,d_id,purpose,modal,travl_sec,POP,no
202401,11215870,마라342836,1,0,18780,2.3,17
202401,11500620,마라342836,1,0,8140,7.0,17
202401,11530530,마라342836,1,0,23130,3.1,17
202401,11650540,마라342836,1,0,29250,3.7,17
202401,11650560,마라342836,1,0,18920,7.0,17
202401,11650581,마라342836,1,0,20950,9.3,17
202401,26110510,마라342836,1,0,2820,144.0,17
202401,26110520,마라342836,1,0,1570,7.9,17
202401,26110530,마라342836,1,0,2110,51.7,17
202401,26110545,마라342836,1,0,1040,10.7,17
202401,26110560,마라342836,1,0,2280,60.3,17
202401,26110570,마라342836,1,0,2160,16.9,17
202401,26110580,마라342836,1,0,2320,161.0,17
202401,26110590,마라342836,1,0,1940,3.8,17
202401,26110600,마라342836,1,0,1260,24.1,17
202401,26140510,마라342836,1,0,840,10.2,17
202401,26140520,마라342836,1,0,1170,3.1,17
202401,26140530,마라342836,1,0,1510,79.5,17
202401,26140540,마라342836,1,0,910,43.1,17
202401,26140560,마라342836,1,0,1050,6.8,17
202401,26140570,마라342836,1,0,2250,56.8,17
202401,26140615,마라342836,1,0,5470,37.9,17
202401,26140640,마라342836,1,0,2410,3.5,17
202401,26140660,마라342836,1,0,6390,3.9,17
202401,26140680,마라342836,1,0,2610,43.5,17
202401,26170510,마라342836,1,0,2220,25.2,17
202401,26170520,마라342836,1,0,2280,52.9,17
202401,26170530,마라342836,1,0,2030,57.3,17
202401,26170550,마라342836,1,0,2340,7.5,17
202401,26170560,마라342836,1,0,2190,16.3,17
202401,26170570,마라342836,1,0,2310,21.4,17
202401,26170590,마라342836,1,0,2180,14.0,17
202401,26170600,마라342836,1,0,2720,11.6,17
202401,26170645,마라342836,1,0,1730,2.7,17
202401,26170650,마라342836,1,0,3450,7.1,17
202401,26170660,마라342836,1,0,3280,56.4,17
202401,26170680,마라342836,1,0,4670,28.0,17
202401,26200530,마라342836,1,0,1940,167.4,17
202401,26200550,마라342836,1,0,2440,5.9,17
202401,26200585,마라342836,1,0,3160,18.1,17
202401,26200590,마라342836,1,0,3010,46.1,17
202401,26200630,마라342836,1,0,4840,8.2,17
202401,26200640,마라342836,1,0,5100,16.8,17
202401,26200650,마라342836,1,0,5430,48.4,17
202401,26200660,마라342836,1,0,2790,96.0,17
202401,26200670,마라342836,1,0,4700,8.0,17
202401,26230510,마라342836,1,0,2850,88.3,17
202401,26230520,마라342836,1,0,2430,303.8,17
202401,26230540,마라342836,1,0,1450,10.4,17
202401,26230550,마라342836,1,0,4260,45.6,17
202401,26230560,마라342836,1,0,2080,65.8,17
202401,26230600,마라342836,1,0,2050,36.1,17
202401,26230610,마라342836,1,0,2700,67.8,17
