STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202401,2865650.7,0,1,515497.0,18.0
202401,2865650.7,0,2,256022.2,8.9
202401,2865650.7,0,4,384563.0,13.4
202401,2865650.7,1,1,232758.2,8.1
202401,2865650.7,1,2,153656.5,5.4
202401,2865650.7,1,4,182914.0,6.4
202401,2865650.7,2,1,158555.2,5.5
202401,2865650.7,2,2,95603.3,3.3
202401,2865650.7,2,4,100063.9,3.5
202401,2865650.7,3,1,276130.8,9.6
202401,2865650.7,3,2,95036.2,3.3
202401,2865650.7,3,4,155798.5,5.4
202401,2865650.7,4,1,3415.9,0.1
202401,2865650.7,4,2,697.8,0.0
202401,2865650.7,4,4,2577.1,0.1
202401,2865650.7,9,1,109329.9,3.8
202401,2865650.7,9,2,65096.3,2.3
202401,2865650.7,9,4,77934.9,2.7
