STD_YM,fac_name,modal,visit_cnt,life_visit_cnt
202401,감전동 행정복지센터,0,24446.2,3444.6
202401,감전동 행정복지센터,1,9458.7,2337.3
202401,감전동 행정복지센터,2,4175.3,534.4
202401,감전동 행정복지센터,3,9062.7,7621.4
202401,감전동 행정복지센터,4,138.7,9.0
202401,감전동 행정복지센터,9,5276.7,1666.0
202401,감전시장,0,35124.2,4523.8
202401,감전시장,1,18900.4,4435.5
202401,감전시장,2,10789.1,1422.1
202401,감전시장,3,16566.3,14401.4
202401,감전시장,4,237.4,15.0
202401,감전시장,9,7062.5,1796.4
202401,감전천,0,79929.9,4508.9
202401,감전천,1,33062.5,3610.2
202401,감전천,2,6490.0,128.2
202401,감전천,3,28827.4,1561.6
202401,감전천,4,585.8,13.4
202401,감전천,9,18080.7,2260.6
202401,괘법동 행정복지세터,0,18192.2,2548.3
202401,괘법동 행정복지세터,1,7947.8,1769.1
202401,괘법동 행정복지세터,2,9983.3,2323.5
202401,괘법동 행정복지세터,3,14645.1,12124.1
202401,괘법동 행정복지세터,4,368.7,24.6
202401,괘법동 행정복지세터,9,3897.5,1099.4
202401,르네시떼,0,66781.2,3992.3
202401,르네시떼,1,31754.2,4254.3
202401,르네시떼,2,35038.2,4380.1
202401,르네시떼,3,26225.1,18082.7
202401,르네시떼,4,465.7,9.2
202401,르네시떼,9,13758.2,2304.0
202401,사상 보건소,0,27192.4,2408.2
202401,사상 보건소,1,14327.0,2810.2
202401,사상 보건소,2,10894.8,1147.9
202401,사상 보건소,3,7969.7,4093.6
202401,사상 보건소,4,126.0,10.5
202401,사상 보건소,9,6192.6,1044.8
202401,사상근린공원,0,15152.1,2055.2
202401,사상근린공원,1,7647.0,1271.4
202401,사상근린공원,2,4056.1,579.2
202401,사상근린공원,3,6869.4,3906.6
202401,사상근린공원,4,111.2,16.4
202401,사상근린공원,9,3774.6,1221.1
202401,사상인디스테이션,0,91927.9,8981.0
202401,사상인디스테이션,1,47611.0,8832.3
202401,사상인디스테이션,2,70851.6,9531.9
202401,사상인디스테이션,3,57395.8,44318.5
202401,사상인디스테이션,4,1760.7,106.4
202401,사상인디스테이션,9,18399.1,4705.6
202401,사상평생학습관,0,12480.8,1742.9
202401,사상평생학습관,1,4440.6,1217.7
202401,사상평생학습관,2,4506.9,580.8
202401,사상평생학습관,3,7252.4,6116.3
202401,사상평생학습관,4,78.0,4.0
202401,사상평생학습관,9,2918.0,939.7
202401,삼락생태공원낙동제방인샘꽃길,0,901.0,80.5
202401,삼락생태공원낙동제방인샘꽃길,1,279.8,80.0
202401,삼락생태공원낙동제방인샘꽃길,2,296.6,7.5
202401,삼락생태공원낙동제방인샘꽃길,3,228.8,166.5
202401,삼락생태공원낙동제방인샘꽃길,9,164.6,50.0
202401,삼성테스코홈플러스서부산점,0,66781.2,3992.3
202401,삼성테스코홈플러스서부산점,1,31754.2,4254.3
202401,삼성테스코홈플러스서부산점,2,35038.2,4380.1
202401,삼성테스코홈플러스서부산점,3,26225.1,18082.7
202401,삼성테스코홈플러스서부산점,4,465.7,9.2
202401,삼성테스코홈플러스서부산점,9,13758.2,2304.0
202401,새벽시장,0,92849.2,10014.1
202401,새벽시장,1,34528.4,7610.2
202401,새벽시장,2,11223.0,1653.0
202401,새벽시장,3,20106.5,15846.0
202401,새벽시장,4,280.9,22.4
202401,새벽시장,9,15791.0,4224.6
202401,애플 아울렛 서부시외버스터미널,0,373593.4,38283.9
202401,애플 아울렛 서부시외버스터미널,1,188461.2,37005.2
202401,애플 아울렛 서부시외버스터미널,2,257243.5,31685.3
202401,애플 아울렛 서부시외버스터미널,3,251322.6,197277.0
202401,애플 아울렛 서부시외버스터미널,4,7212.8,404.8
202401,애플 아울렛 서부시외버스터미널,9,74905.2,19967.6
202401,이마트 사상점,0,66781.2,3992.3
202401,이마트 사상점,1,31754.2,4254.3
202401,이마트 사상점,2,35038.2,4380.1
202401,이마트 사상점,3,26225.1,18082.7
202401,이마트 사상점,4,465.7,9.2
202401,이마트 사상점,9,13758.2,2304.0
202401,창날공원,0,19690.0,2622.0
202401,창날공원,1,7211.5,1609.3
202401,창날공원,2,7955.7,1192.2
202401,창날공원,3,18874.9,14686.6
202401,창날공원,4,233.9,11.5
202401,창날공원,9,5386.1,1596.1
