STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202507,2649352.1,0,1,249162.3,9.4
202507,2649352.1,0,2,257278.0,9.7
202507,2649352.1,0,4,535356.0,20.2
202507,2649352.1,1,1,111863.1,4.2
202507,2649352.1,1,2,127587.9,4.8
202507,2649352.1,1,4,227667.7,8.6
202507,2649352.1,2,1,122961.5,4.6
202507,2649352.1,2,2,128171.2,4.8
202507,2649352.1,2,4,242633.2,9.2
202507,2649352.1,3,1,177742.4,6.7
202507,2649352.1,3,2,62799.7,2.4
202507,2649352.1,3,4,197567.7,7.5
202507,2649352.1,4,1,2532.1,0.1
202507,2649352.1,4,2,757.3,0.0
202507,2649352.1,4,4,6904.7,0.3
202507,2649352.1,9,1,53685.4,2.0
202507,2649352.1,9,2,56177.3,2.1
202507,2649352.1,9,4,88504.6,3.3
