STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202506,2776310,0,1,500022.9,18.0
202506,2776310,0,2,217699.2,7.8
202506,2776310,0,4,422235.4,15.2
202506,2776310,1,1,236924.9,8.5
202506,2776310,1,2,137356.7,4.9
202506,2776310,1,4,206142.3,7.4
202506,2776310,2,1,148407.0,5.3
202506,2776310,2,2,85132.4,3.1
202506,2776310,2,4,108560.9,3.9
202506,2776310,3,1,228285.1,8.2
202506,2776310,3,2,85420.0,3.1
202506,2776310,3,4,137254.9,4.9
202506,2776310,4,1,3336.8,0.1
202506,2776310,4,2,578.7,0.0
202506,2776310,4,4,2471.7,0.1
202506,2776310,9,1,107391.5,3.9
202506,2776310,9,2,64013.2,2.3
202506,2776310,9,4,85076.4,3.1
