STD_YM,O_gID,D_gID,purpose,modal,travel_time(sec),POP,no
202506,26230640,마라341838,2,0,2580,26.8,17
202506,26530591,마라341838,2,0,1600,26.0,17
202506,48310390,마라341838,2,0,6400,3.4,17
202506,26530591,마라341838,2,1,2050,22.3,17
202506,26230640,마라341838,2,2,7070,3.4,17
202506,26230640,마라341838,2,9,3160,36.9,17
202506,26530591,마라341838,2,9,2720,14.8,17
202506,26290680,마라341838,4,0,4510,3.7,17
202506,26440510,마라341838,4,0,980,3.4,17
202506,26530580,마라341838,4,0,510,3.4,17
202506,26530680,마라341838,4,0,1850,3.4,17
202506,48250340,마라341838,4,0,2170,3.4,17
202506,마라350852,마라341838,4,0,350,5.6,17
202506,마라353858,마라341838,4,0,1200,3.4,17
202506,마라354852,마라341838,4,0,3030,3.4,17
202506,마라350852,마라341838,4,1,1880,2.8,17
202506,26290550,마라341838,4,2,4300,2.6,17
202506,26230710,마라341838,4,9,2470,2.3,17
202506,11110615,마라342836,1,0,16880,3.0,17
202506,11110630,마라342836,1,0,20420,4.5,17
202506,11215847,마라342836,1,0,22430,2.8,17
202506,11650581,마라342836,1,0,37590,3.3,17
202506,11680670,마라342836,1,0,13350,7.4,17
202506,26110510,마라342836,1,0,3460,165.9,17
202506,26110530,마라342836,1,0,2400,19.9,17
202506,26110545,마라342836,1,0,1810,6.2,17
202506,26110560,마라342836,1,0,2250,66.3,17
202506,26110570,마라342836,1,0,2540,30.5,17
202506,26110580,마라342836,1,0,2480,178.3,17
202506,26110590,마라342836,1,0,1660,3.7,17
202506,26110600,마라342836,1,0,1680,4.5,17
202506,26140510,마라342836,1,0,1130,21.9,17
202506,26140520,마라342836,1,0,1420,2.4,17
202506,26140530,마라342836,1,0,2780,74.4,17
202506,26140540,마라342836,1,0,2440,34.3,17
202506,26140560,마라342836,1,0,3700,7.2,17
202506,26140570,마라342836,1,0,1590,76.5,17
202506,26140590,마라342836,1,0,1290,12.7,17
202506,26140615,마라342836,1,0,3490,23.9,17
202506,26140630,마라342836,1,0,1810,7.3,17
202506,26140640,마라342836,1,0,1690,28.6,17
202506,26140660,마라342836,1,0,5690,14.1,17
202506,26140680,마라342836,1,0,3080,155.6,17
202506,26170510,마라342836,1,0,1800,22.8,17
202506,26170520,마라342836,1,0,2220,71.9,17
202506,26170530,마라342836,1,0,3820,34.1,17
202506,26170550,마라342836,1,0,2530,32.0,17
202506,26170560,마라342836,1,0,2010,31.2,17
202506,26170570,마라342836,1,0,1890,31.5,17
202506,26170600,마라342836,1,0,4070,19.9,17
202506,26170645,마라342836,1,0,1960,16.5,17
202506,26170650,마라342836,1,0,1900,44.3,17
202506,26170660,마라342836,1,0,4490,38.2,17
202506,26170680,마라342836,1,0,2840,24.8,17
202506,26200530,마라342836,1,0,2650,82.9,17
202506,26200550,마라342836,1,0,1740,2.9,17
202506,26200585,마라342836,1,0,1890,2.7,17
202506,26200590,마라342836,1,0,2310,47.9,17
202506,26200605,마라342836,1,0,3860,5.7,17
202506,26200630,마라342836,1,0,4320,3.7,17
202506,26200640,마라342836,1,0,4540,31.1,17
202506,26200650,마라342836,1,0,3170,36.4,17
202506,26200660,마라342836,1,0,3990,38.0,17
202506,26200670,마라342836,1,0,3120,24.5,17
202506,26230510,마라342836,1,0,3660,70.8,17
202506,26230520,마라342836,1,0,2970,110.2,17
202506,26230540,마라342836,1,0,2540,13.6,17
202506,26230550,마라342836,1,0,3910,65.1,17
202506,26230560,마라342836,1,0,3440,49.7,17
202506,26230570,마라342836,1,0,2650,5.5,17
202506,26230600,마라342836,1,0,3860,55.3,17
202506,26230610,마라342836,1,0,2560,58.5,17
202506,26230640,마라342836,1,0,1530,33.9,17
202506,26230710,마라342836,1,0,2630,74.0,17
202506,26230720,마라342836,1,0,1700,50.4,17
202506,26230740,마라342836,1,0,1110,70.3,17
202506,26230750,마라342836,1,0,1360,51.1,17
202506,26230770,마라342836,1,0,1870,82.4,17
202506,26230780,마라342836,1,0,3480,17.6,17
202506,26260510,마라342836,1,0,3060,37.4,17
202506,26260520,마라342836,1,0,2910,20.4,17
202506,26260545,마라342836,1,0,3250,31.4,17
202506,26260550,마라342836,1,0,3350,90.2,17
202506,26260560,마라342836,1,0,2610,34.1,17
202506,26260570,마라342836,1,0,5310,20.3,17
202506,26260580,마라342836,1,0,7420,11.9,17
202506,26260590,마라342836,1,0,3790,42.3,17
202506,26260600,마라342836,1,0,1940,11.1,17
202506,26260740,마라342836,1,0,2620,5.5,17
202506,26260750,마라342836,1,0,3650,5.6,17
202506,26260761,마라342836,1,0,3890,7.9,17
202506,26260762,마라342836,1,0,11200,28.7,17
202506,26290510,마라342836,1,0,6600,6.6,17
202506,26290530,마라342836,1,0,3420,20.5,17
202506,26290540,마라342836,1,0,2500,7.9,17
202506,26290550,마라342836,1,0,2130,57.5,17
202506,26290560,마라342836,1,0,1570,7.4,17
202506,26290570,마라342836,1,0,3290,35.9,17
202506,26290580,마라342836,1,0,4140,21.9,17
202506,26290590,마라342836,1,0,2800,16.1,17
202506,26290610,마라342836,1,0,3720,55.3,17
202506,26290620,마라342836,1,0,4110,65.6,17
202506,26290630,마라342836,1,0,2100,3.5,17
202506,26290680,마라342836,1,0,2280,7.0,17
202506,26290690,마라342836,1,0,2400,29.6,17
202506,26290700,마라342836,1,0,2250,6.0,17
202506,26320510,마라342836,1,0,2870,34.1,17
202506,26320520,마라342836,1,0,2540,42.6,17
202506,26320521,마라342836,1,0,2880,19.8,17
202506,26320530,마라342836,1,0,3200,38.5,17
202506,26320541,마라342836,1,0,2270,17.6,17
202506,26320542,마라342836,1,0,3920,11.4,17
202506,26320543,마라342836,1,0,2640,75.3,17
202506,26320550,마라342836,1,0,2650,10.3,17
202506,26320560,마라342836,1,0,2210,53.9,17
202506,26320571,마라342836,1,0,3690,20.3,17
202506,26320572,마라342836,1,0,2530,50.8,17
202506,26320573,마라342836,1,0,2310,27.0,17
202506,26350510,마라342836,1,0,6600,40.8,17
202506,26350520,마라342836,1,0,3660,84.5,17
202506,26350525,마라342836,1,0,4170,14.5,17
202506,26350530,마라342836,1,0,4570,57.9,17
202506,26350551,마라342836,1,0,2200,4.1,17
202506,26350552,마라342836,1,0,3930,2.5,17
202506,26350553,마라342836,1,0,5990,6.1,17
202506,26350554,마라342836,1,0,3700,36.4,17
202506,26350560,마라342836,1,0,5030,29.7,17
202506,26350570,마라342836,1,0,3220,9.8,17
202506,26350580,마라342836,1,0,2840,2.5,17
202506,26350595,마라342836,1,0,2300,3.4,17
202506,26350650,마라342836,1,0,3110,4.1,17
202506,26350660,마라342836,1,0,4340,3.5,17
202506,26380510,마라342836,1,0,1280,19.1,17
202506,26380520,마라342836,1,0,1990,40.7,17
202506,26380530,마라342836,1,0,1460,29.9,17
202506,26380540,마라342836,1,0,2540,14.3,17
202506,26380550,마라342836,1,0,2320,76.5,17
202506,26380561,마라342836,1,0,770,89.0,17
202506,26380562,마라342836,1,0,1240,330.6,17
202506,26380601,마라342836,1,0,2350,110.4,17
202506,26380602,마라342836,1,0,2040,51.5,17
202506,26380610,마라342836,1,0,2020,55.8,17
202506,26380620,마라342836,1,0,1260,12.0,17
202506,26380630,마라342836,1,0,2000,2.7,17
202506,26410520,마라342836,1,0,2970,2.5,17
202506,26410530,마라342836,1,0,2040,11.0,17
202506,26410555,마라342836,1,0,5550,17.4,17
202506,26410580,마라342836,1,0,3180,11.9,17
202506,26410590,마라342836,1,0,1710,2.2,17
202506,26410600,마라342836,1,0,4440,7.7,17
202506,26410610,마라342836,1,0,4510,17.6,17
202506,26410635,마라342836,1,0,3080,5.5,17
202506,26410665,마라342836,1,0,4840,11.5,17
202506,26410670,마라342836,1,0,3710,12.9,17
202506,26410680,마라342836,1,0,2820,2.7,17
202506,26410690,마라342836,1,0,3660,13.4,17
202506,26410700,마라342836,1,0,2440,10.1,17
202506,26440510,마라342836,1,0,1720,197.5,17
202506,26440520,마라342836,1,0,2560,377.1,17
202506,26440530,마라342836,1,0,2980,19.1,17
202506,26440535,마라342836,1,0,2070,362.4,17
202506,26440545,마라342836,1,0,2280,78.6,17
202506,26440550,마라342836,1,0,2930,60.0,17
202506,26440560,마라342836,1,0,3560,538.3,17
202506,26440580,마라342836,1,0,3260,76.6,17
202506,26440590,마라342836,1,0,3840,30.9,17
202506,26470610,마라342836,1,0,3490,108.1,17
202506,26470620,마라342836,1,0,4020,62.7,17
202506,26470630,마라342836,1,0,2290,47.4,17
202506,26470650,마라342836,1,0,3890,7.0,17
202506,26470660,마라342836,1,0,2830,18.9,17
202506,26470680,마라342836,1,0,3830,9.8,17
202506,26470690,마라342836,1,0,3600,93.9,17
202506,26470700,마라342836,1,0,6370,10.4,17
202506,26470730,마라342836,1,0,8440,18.2,17
202506,26500660,마라342836,1,0,4860,27.2,17
202506,26500740,마라342836,1,0,3220,10.5,17
202506,26500750,마라342836,1,0,2610,20.1,17
202506,26500770,마라342836,1,0,2740,28.9,17
202506,26500780,마라342836,1,0,2010,5.9,17
202506,26500790,마라342836,1,0,3700,7.6,17
202506,26500800,마라342836,1,0,3690,58.8,17
202506,26530580,마라342836,1,0,1990,252.0,17
202506,26530591,마라342836,1,0,1880,248.2,17
202506,26530593,마라342836,1,0,1650,34.5,17
202506,26530600,마라342836,1,0,3440,76.6,17
202506,26530610,마라342836,1,0,1770,163.1,17
202506,26530650,마라342836,1,0,1160,160.6,17
202506,26530660,마라342836,1,0,1030,159.6,17
202506,26530661,마라342836,1,0,460,112.5,17
202506,26530670,마라342836,1,0,750,1599.6,17
