STD_YM,fac_name,fac_opr_date,visit_cnt,life_visit_cnt
202506,동매누리 작은도서관,30,40886.1,16773.0
202506,동매누리행복센터,30,74205.6,30776.9
202506,동매산둘레길,30,76051.6,33957.0
202506,무지개작은도서관,30,77690.1,33127.3
202506,보림공원,30,77690.1,33127.3
202506,사하구청 제2청사,30,65840.3,18756.6
202506,수풀작은도서관,30,127394.8,50746.5
202506,신남초등학교,30,48560.5,17119.6
202506,신평골목시장,30,45750.3,19370.4
202506,장림 롯데마트,30,10746.6,3256.1
202506,장림1동행정복지센터,30,77690.1,33127.3
202506,장림2동 행정복지센터,30,30518.3,12757.7
202506,장림공원,30,80462.6,31468.1
202506,장림생태공원,30,80360.9,20062.4
202506,하하센터,30,121114.9,33301.1
202506,효림초등학교,30,9538.2,7573.0
