STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202405,2770273.9,0,1,515047.5,18.6
202405,2770273.9,0,2,233584.3,8.4
202405,2770273.9,0,4,430208.2,15.5
202405,2770273.9,1,1,237191.0,8.6
202405,2770273.9,1,2,145753.1,5.3
202405,2770273.9,1,4,205541.5,7.4
202405,2770273.9,2,1,168654.2,6.1
202405,2770273.9,2,2,97675.7,3.5
202405,2770273.9,2,4,118890.7,4.3
202405,2770273.9,3,1,198739.0,7.2
202405,2770273.9,3,2,77365.2,2.8
202405,2770273.9,3,4,117899.7,4.3
202405,2770273.9,4,1,3514.0,0.1
202405,2770273.9,4,2,573.4,0.0
202405,2770273.9,4,4,2673.9,0.1
202405,2770273.9,9,1,90553.3,3.3
202405,2770273.9,9,2,54804.4,2.0
202405,2770273.9,9,4,71604.8,2.6
