STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202405,2656362.9,0,1,267265.8,10.1
202405,2656362.9,0,2,300192.0,11.3
202405,2656362.9,0,4,584821.9,22.0
202405,2656362.9,1,1,107854.7,4.1
202405,2656362.9,1,2,132390.1,5.0
202405,2656362.9,1,4,225270.0,8.5
202405,2656362.9,2,1,97006.4,3.7
202405,2656362.9,2,2,121707.0,4.6
202405,2656362.9,2,4,203756.2,7.7
202405,2656362.9,3,1,155940.0,5.9
202405,2656362.9,3,2,58393.4,2.2
202405,2656362.9,3,4,181422.3,6.8
202405,2656362.9,4,1,2809.1,0.1
202405,2656362.9,4,2,859.5,0.0
202405,2656362.9,4,4,7146.2,0.3
202405,2656362.9,9,1,56274.2,2.1
202405,2656362.9,9,2,59525.4,2.2
202405,2656362.9,9,4,93728.7,3.5
