STD_YM,o_id,d_id,purpose,modal,travl_sec,POP,no
202405,26230640,마라341838,2,0,2320,17.5,17
202405,26530591,마라341838,2,0,1640,49.9,17
202405,26530670,마라341838,2,0,0,3.5,17
202405,48310390,마라341838,2,0,4810,7.0,17
202405,마라402865,마라341838,2,0,2040,7.0,17
202405,26230640,마라341838,2,1,2580,7.0,17
202405,26530591,마라341838,2,1,1800,30.7,17
202405,마라337842,마라341838,2,1,130,10.0,17
202405,26230640,마라341838,2,9,3360,17.5,17
202405,26530591,마라341838,2,9,2440,3.8,17
202405,마라402865,마라341838,2,9,3270,7.0,17
202405,마라403868,마라341838,2,9,4390,7.0,17
202405,26230510,마라341838,4,0,1800,3.5,17
202405,26350570,마라341838,4,0,3210,2.8,17
202405,48121520,마라341838,4,0,3120,3.5,17
202405,48250610,마라341838,4,0,3470,8.4,17
202405,마라347861,마라341838,4,0,1010,2.7,17
202405,마라350852,마라341838,4,0,1330,16.7,17
202405,마라346864,마라341838,4,1,430,3.8,17
202405,마라350852,마라341838,4,1,1790,2.8,17
202405,26530670,마라341838,4,3,220,4.0,17
202405,마라353858,마라341838,4,9,720,3.5,17
202405,11110515,마라342836,1,0,23300,9.0,17
202405,11140540,마라342836,1,0,13360,2.9,17
202405,11140570,마라342836,1,0,12810,3.3,17
202405,11170530,마라342836,1,0,12750,3.5,17
202405,11215870,마라342836,1,0,20350,21.0,17
202405,11530530,마라342836,1,0,40500,2.9,17
202405,11590605,마라342836,1,0,18590,3.2,17
202405,11650581,마라342836,1,0,18730,2.6,17
202405,11680750,마라342836,1,0,10490,5.2,17
202405,26110510,마라342836,1,0,2550,112.0,17
202405,26110520,마라342836,1,0,2670,6.2,17
202405,26110530,마라342836,1,0,2080,66.2,17
202405,26110545,마라342836,1,0,1090,19.3,17
202405,26110560,마라342836,1,0,2010,75.0,17
202405,26110570,마라342836,1,0,1950,27.7,17
202405,26110580,마라342836,1,0,3730,122.8,17
