STD_YM,fac_name,modal,visit_cnt,life_visit_cnt
202405,감전동 행정복지센터,0,20061.0,2182.2
202405,감전동 행정복지센터,1,7420.8,1599.1
202405,감전동 행정복지센터,2,3141.3,355.2
202405,감전동 행정복지센터,3,5050.7,4062.3
202405,감전동 행정복지센터,4,91.8,10.9
202405,감전동 행정복지센터,9,3413.8,1053.0
202405,감전시장,0,32332.8,3818.5
202405,감전시장,1,18839.7,4692.3
202405,감전시장,2,10658.8,1510.9
202405,감전시장,3,14084.0,12112.7
202405,감전시장,4,306.4,17.9
202405,감전시장,9,6534.8,2006.6
202405,감전천,0,81705.5,4224.7
202405,감전천,1,36753.8,4499.4
202405,감전천,2,7552.7,252.2
202405,감전천,3,23931.4,1477.1
202405,감전천,4,414.7,0.0
202405,감전천,9,16915.8,2068.2
202405,괘법동 행정복지세터,0,17932.6,2280.0
202405,괘법동 행정복지세터,1,8353.2,2002.3
202405,괘법동 행정복지세터,2,9545.7,2157.6
202405,괘법동 행정복지세터,3,10876.2,9083.4
202405,괘법동 행정복지세터,4,310.9,22.2
202405,괘법동 행정복지세터,9,3287.4,1020.6
202405,르네시떼,0,79868.6,4656.5
202405,르네시떼,1,36668.6,5401.2
202405,르네시떼,2,44305.9,5087.7
202405,르네시떼,3,26617.4,18058.6
202405,르네시떼,4,665.1,20.8
202405,르네시떼,9,13664.8,2590.5
202405,사상 보건소,0,20693.5,1968.8
202405,사상 보건소,1,10473.4,2219.6
202405,사상 보건소,2,8334.9,853.7
202405,사상 보건소,3,4926.9,2797.3
202405,사상 보건소,4,119.9,4.2
202405,사상 보건소,9,4093.8,824.0
202405,사상근린공원,0,13687.2,1644.9
202405,사상근린공원,1,7328.8,1044.4
202405,사상근린공원,2,3835.6,501.4
202405,사상근린공원,3,4160.2,2494.3
202405,사상근린공원,4,136.3,14.3
202405,사상근린공원,9,2925.0,948.1
202405,사상인디스테이션,0,109514.8,10051.7
202405,사상인디스테이션,1,59550.6,10852.2
202405,사상인디스테이션,2,86641.3,10255.4
202405,사상인디스테이션,3,59232.7,45150.9
202405,사상인디스테이션,4,1811.7,70.9
202405,사상인디스테이션,9,20831.8,5622.4
202405,사상평생학습관,0,11884.4,1538.7
202405,사상평생학습관,1,4993.4,1361.4
202405,사상평생학습관,2,4955.4,843.3
202405,사상평생학습관,3,6688.2,5389.3
202405,사상평생학습관,4,63.2,11.7
202405,사상평생학습관,9,2894.5,955.2
202405,삼락생태공원낙동제방인샘꽃길,0,244.1,27.3
202405,삼락생태공원낙동제방인샘꽃길,1,124.8,13.9
202405,삼락생태공원낙동제방인샘꽃길,2,176.5,7.2
202405,삼락생태공원낙동제방인샘꽃길,3,223.8,188.1
202405,삼락생태공원낙동제방인샘꽃길,9,57.1,17.0
202405,삼성테스코홈플러스서부산점,0,79868.6,4656.5
202405,삼성테스코홈플러스서부산점,1,36668.6,5401.2
202405,삼성테스코홈플러스서부산점,2,44305.9,5087.7
202405,삼성테스코홈플러스서부산점,3,26617.4,18058.6
202405,삼성테스코홈플러스서부산점,4,665.1,20.8
202405,삼성테스코홈플러스서부산점,9,13664.8,2590.5
202405,새벽시장,0,102295.9,9498.3
202405,새벽시장,1,39555.3,7639.2
202405,새벽시장,2,14501.1,1946.6
202405,새벽시장,3,13712.3,10657.1
202405,새벽시장,4,425.5,17.5
202405,새벽시장,9,13503.1,3072.3
202405,애플 아울렛 서부시외버스터미널,0,387710.2,37796.7
202405,애플 아울렛 서부시외버스터미널,1,202824.4,39558.4
202405,애플 아울렛 서부시외버스터미널,2,279877.6,31767.6
202405,애플 아울렛 서부시외버스터미널,3,230981.7,176965.7
202405,애플 아울렛 서부시외버스터미널,4,6690.3,339.4
202405,애플 아울렛 서부시외버스터미널,9,73113.6,20631.5
202405,이마트 사상점,0,79868.6,4656.5
202405,이마트 사상점,1,36668.6,5401.2
202405,이마트 사상점,2,44305.9,5087.7
202405,이마트 사상점,3,26617.4,18058.6
202405,이마트 사상점,4,665.1,20.8
202405,이마트 사상점,9,13664.8,2590.5
202405,창날공원,0,8347.1,1211.2
202405,창날공원,1,3170.1,749.4
202405,창날공원,2,3769.5,663.2
202405,창날공원,3,7808.3,5784.2
202405,창날공원,4,163.2,15.4
202405,창날공원,9,2325.5,729.0
