STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202408,2636314.6,0,1,515793.8,19.6
202408,2636314.6,0,2,222438.4,8.4
202408,2636314.6,0,4,430020.8,16.3
202408,2636314.6,1,1,230053.1,8.7
202408,2636314.6,1,2,133010.7,5.0
202408,2636314.6,1,4,201581.4,7.6
202408,2636314.6,2,1,154003.6,5.8
202408,2636314.6,2,2,84799.3,3.2
202408,2636314.6,2,4,113747.3,4.3
202408,2636314.6,3,1,176597.4,6.7
202408,2636314.6,3,2,60682.0,2.3
202408,2636314.6,3,4,105755.7,4.0
202408,2636314.6,4,1,3266.6,0.1
202408,2636314.6,4,2,642.4,0.0
202408,2636314.6,4,4,2865.9,0.1
202408,2636314.6,9,1,85488.7,3.2
202408,2636314.6,9,2,47175.0,1.8
202408,2636314.6,9,4,68392.5,2.6
