STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202501,2984864.9,0,1,557919.4,18.7
202501,2984864.9,0,2,96354.5,3.2
202501,2984864.9,0,4,356387.1,11.9
202501,2984864.9,1,1,345872.6,11.6
202501,2984864.9,1,2,77099.5,2.6
202501,2984864.9,1,4,214986.8,7.2
202501,2984864.9,2,1,150442.5,5.0
202501,2984864.9,2,2,36158.3,1.2
202501,2984864.9,2,4,79064.2,2.6
202501,2984864.9,3,1,380171.3,12.7
202501,2984864.9,3,2,96113.3,3.2
202501,2984864.9,3,4,232334.9,7.8
202501,2984864.9,4,1,5457.6,0.2
202501,2984864.9,4,2,626.9,0.0
202501,2984864.9,4,4,3961.8,0.1
202501,2984864.9,9,1,183034.7,6.1
202501,2984864.9,9,2,47175.0,1.6
202501,2984864.9,9,4,121704.5,4.1
