STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202501,2404638.7,0,1,246072.1,10.2
202501,2404638.7,0,2,228532.0,9.5
202501,2404638.7,0,4,537951.1,22.4
202501,2404638.7,1,1,107027.0,4.5
202501,2404638.7,1,2,103752.6,4.3
202501,2404638.7,1,4,218691.6,9.1
202501,2404638.7,2,1,95589.3,4.0
202501,2404638.7,2,2,90355.6,3.8
202501,2404638.7,2,4,204102.7,8.5
202501,2404638.7,3,1,158268.1,6.6
202501,2404638.7,3,2,49869.7,2.1
202501,2404638.7,3,4,184492.1,7.7
202501,2404638.7,4,1,2978.8,0.1
202501,2404638.7,4,2,924.0,0.0
202501,2404638.7,4,4,7243.4,0.3
202501,2404638.7,9,1,46975.7,2.0
202501,2404638.7,9,2,41958.7,1.7
202501,2404638.7,9,4,79854.2,3.3
