STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202505,3220124.7,0,1,573870.6,17.8
202505,3220124.7,0,2,101732.9,3.2
202505,3220124.7,0,4,347875.6,10.8
202505,3220124.7,1,1,365303.0,11.3
202505,3220124.7,1,2,93330.8,2.9
202505,3220124.7,1,4,223868.1,7.0
202505,3220124.7,2,1,161501.7,5.0
202505,3220124.7,2,2,38737.2,1.2
202505,3220124.7,2,4,81685.1,2.5
202505,3220124.7,3,1,430212.5,13.4
202505,3220124.7,3,2,132708.2,4.1
202505,3220124.7,3,4,255509.9,7.9
202505,3220124.7,4,1,5583.4,0.2
202505,3220124.7,4,2,665.8,0.0
202505,3220124.7,4,4,3617.1,0.1
202505,3220124.7,9,1,210522.6,6.5
202505,3220124.7,9,2,59837.7,1.9
202505,3220124.7,9,4,133562.5,4.1
