STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202505,2678390.8,0,1,256312.4,9.6
202505,2678390.8,0,2,254001.2,9.5
202505,2678390.8,0,4,560498.8,20.9
202505,2678390.8,1,1,111640.4,4.2
202505,2678390.8,1,2,121456.2,4.5
202505,2678390.8,1,4,228711.6,8.5
202505,2678390.8,2,1,116089.8,4.3
202505,2678390.8,2,2,124014.0,4.6
202505,2678390.8,2,4,242077.5,9.0
202505,2678390.8,3,1,178505.8,6.7
202505,2678390.8,3,2,62723.9,2.3
202505,2678390.8,3,4,207765.7,7.8
202505,2678390.8,4,1,2919.0,0.1
202505,2678390.8,4,2,969.0,0.0
202505,2678390.8,4,4,7418.4,0.3
202505,2678390.8,9,1,53467.3,2.0
202505,2678390.8,9,2,57043.5,2.1
202505,2678390.8,9,4,92776.3,3.5
