STD_YM,fac_name,visit_cnt,total_visit_cnt,life_visit_cnt
202504,부산진구 어린이청소년 도서관,6,1296.4,564.4
202504,부산진구 어린이청소년 도서관,7,1197.5,614.5
202504,부산진구 어린이청소년 도서관,8,1483.5,572.4
202504,부산진구 어린이청소년 도서관,9,713.5,392.7
202504,부산진구 어린이청소년 도서관,10,1055.0,502.9
202504,부산진구여성가족문화센터,1,4363.6,1290.4
202504,부산진구여성가족문화센터,2,2292.1,847.5
202504,부산진구여성가족문화센터,3,2035.6,646.7
202504,부산진구여성가족문화센터,4,1587.8,643.1
202504,부산진구여성가족문화센터,5,1516.8,570.7
202504,부산진구여성가족문화센터,6,1212.0,399.6
202504,부산진구여성가족문화센터,7,1592.5,498.1
202504,부산진구여성가족문화센터,8,1423.7,422.6
202504,부산진구여성가족문화센터,9,1828.7,696.9
202504,부산진구여성가족문화센터,10,1769.1,726.2
202504,새당감시장,1,14357.7,4185.8
202504,새당감시장,2,4904.1,2245.6
202504,새당감시장,3,3482.4,1788.2
202504,새당감시장,4,2836.3,1325.5
202504,새당감시장,5,2391.8,1206.9
202504,새당감시장,6,2769.5,1472.3
202504,새당감시장,7,2740.0,1241.1
202504,새당감시장,8,2733.9,1263.5
202504,새당감시장,9,2972.1,1288.4
202504,새당감시장,10,3268.2,1616.1
202504,한국신발관,1,17133.2,2682.2
202504,한국신발관,2,6556.0,1396.8
202504,한국신발관,3,4033.9,789.9
202504,한국신발관,4,3435.7,728.7
202504,한국신발관,5,3492.6,966.6
202504,한국신발관,6,2771.2,534.2
202504,한국신발관,7,2751.5,550.0
202504,한국신발관,8,3037.3,534.0
202504,한국신발관,9,2416.1,619.8
202504,한국신발관,10,2883.5,526.8
