STD_YM,fac_name,visit_cnt,total_visit_cnt,life_visit_cnt
202504,애플 아울렛 서부시외버스터미널,6,84436.0,27204.1
202504,애플 아울렛 서부시외버스터미널,7,11236.0,4537.8
202504,애플 아울렛 서부시외버스터미널,8,90932.3,24677.7
202504,애플 아울렛 서부시외버스터미널,9,11541.3,4131.5
202504,애플 아울렛 서부시외버스터미널,10,39918.3,14092.8
202504,이마트 사상점,1,84573.1,11628.2
202504,이마트 사상점,2,28317.5,5392.9
202504,이마트 사상점,3,12281.3,2597.1
202504,이마트 사상점,4,6571.7,1604.8
202504,이마트 사상점,5,3886.7,1174.1
202504,이마트 사상점,6,2669.0,883.5
202504,이마트 사상점,7,1896.6,704.3
202504,이마트 사상점,8,2237.9,616.2
202504,이마트 사상점,9,1391.5,384.6
202504,이마트 사상점,10,1994.9,667.4
202504,창날공원,1,6350.0,1800.6
202504,창날공원,2,1463.9,545.6
202504,창날공원,3,1090.1,419.5
202504,창날공원,4,959.0,346.0
202504,창날공원,5,575.3,232.2
202504,창날공원,6,846.6,410.7
202504,창날공원,7,513.3,275.7
202504,창날공원,8,531.4,207.9
202504,창날공원,9,853.4,353.1
202504,창날공원,10,720.4,300.8
