STD_YM,fac_name,modal,visit_cnt,life_visit_cnt
202409,감전동 행정복지센터,0,18773.7,2356.9
202409,감전동 행정복지센터,1,6795.6,1477.3
202409,감전동 행정복지센터,2,2896.2,306.0
202409,감전동 행정복지센터,3,4964.1,4064.7
202409,감전동 행정복지센터,4,64.0,6.2
202409,감전동 행정복지센터,9,3302.2,942.4
202409,감전시장,0,30632.9,3902.4
202409,감전시장,1,16690.9,4363.7
202409,감전시장,2,10350.2,1599.8
202409,감전시장,3,12866.5,11069.5
202409,감전시장,4,215.9,8.4
202409,감전시장,9,5686.7,1672.9
202409,감전천,0,87054.0,5369.5
202409,감전천,1,34226.4,4830.0
202409,감전천,2,6903.0,253.5
202409,감전천,3,19846.1,952.0
202409,감전천,4,497.3,0.0
202409,감전천,9,15741.4,1928.2
202409,괘법동 행정복지세터,0,16149.5,2216.8
202409,괘법동 행정복지세터,1,7732.2,1947.2
202409,괘법동 행정복지세터,2,9448.1,2171.4
202409,괘법동 행정복지세터,3,10187.1,8712.0
202409,괘법동 행정복지세터,4,255.0,24.6
202409,괘법동 행정복지세터,9,2762.8,889.9
202409,르네시떼,0,85276.2,4415.0
202409,르네시떼,1,39489.4,5028.0
202409,르네시떼,2,47141.9,5845.7
202409,르네시떼,3,28805.3,19969.0
202409,르네시떼,4,677.3,17.5
202409,르네시떼,9,13524.1,2294.0
202409,사상 보건소,0,16575.7,1714.5
202409,사상 보건소,1,8666.8,1801.8
202409,사상 보건소,2,6802.2,1007.3
202409,사상 보건소,3,4171.4,2450.2
202409,사상 보건소,4,95.9,6.8
202409,사상 보건소,9,3432.9,687.6
202409,사상근린공원,0,12238.6,1658.6
202409,사상근린공원,1,6164.2,1036.3
202409,사상근린공원,2,3406.3,592.6
202409,사상근린공원,3,4064.2,2532.6
202409,사상근린공원,4,88.7,3.3
202409,사상근린공원,9,2657.7,1041.8
202409,사상인디스테이션,0,115381.2,11310.1
202409,사상인디스테이션,1,61057.8,11456.5
202409,사상인디스테이션,2,100575.7,16903.4
202409,사상인디스테이션,3,76272.5,61842.4
202409,사상인디스테이션,4,1956.2,132.0
202409,사상인디스테이션,9,19913.2,5502.8
202409,사상평생학습관,0,11668.0,1583.9
202409,사상평생학습관,1,4452.4,1255.0
202409,사상평생학습관,2,4435.0,766.3
202409,사상평생학습관,3,6113.1,5041.2
202409,사상평생학습관,4,91.5,25.7
202409,사상평생학습관,9,2465.6,803.3
202409,삼락생태공원낙동제방인샘꽃길,0,169.5,19.6
202409,삼락생태공원낙동제방인샘꽃길,1,106.1,32.5
202409,삼락생태공원낙동제방인샘꽃길,2,102.8,13.6
202409,삼락생태공원낙동제방인샘꽃길,3,219.8,198.9
202409,삼락생태공원낙동제방인샘꽃길,9,68.8,48.3
202409,삼성테스코홈플러스서부산점,0,85276.2,4415.0
202409,삼성테스코홈플러스서부산점,1,39489.4,5028.0
202409,삼성테스코홈플러스서부산점,2,47141.9,5845.7
202409,삼성테스코홈플러스서부산점,3,28805.3,19969.0
202409,삼성테스코홈플러스서부산점,4,677.3,17.5
202409,삼성테스코홈플러스서부산점,9,13524.1,2294.0
202409,새벽시장,0,90072.5,7855.3
202409,새벽시장,1,35148.5,7830.3
202409,새벽시장,2,12070.1,1444.0
202409,새벽시장,3,13316.4,10403.9
202409,새벽시장,4,327.2,93.4
202409,새벽시장,9,12200.6,2861.2
202409,애플 아울렛 서부시외버스터미널,0,478683.2,47741.5
202409,애플 아울렛 서부시외버스터미널,1,249927.2,46474.7
202409,애플 아울렛 서부시외버스터미널,2,431518.2,70458.9
202409,애플 아울렛 서부시외버스터미널,3,328469.5,267085.7
202409,애플 아울렛 서부시외버스터미널,4,9440.3,830.8
202409,애플 아울렛 서부시외버스터미널,9,78957.1,22264.8
202409,이마트 사상점,0,85276.2,4415.0
202409,이마트 사상점,1,39489.4,5028.0
202409,이마트 사상점,2,47141.9,5845.7
202409,이마트 사상점,3,28805.3,19969.0
202409,이마트 사상점,4,677.3,17.5
202409,이마트 사상점,9,13524.1,2294.0
202409,창날공원,0,7077.2,993.9
202409,창날공원,1,2574.9,674.4
202409,창날공원,2,3189.8,558.9
202409,창날공원,3,7037.2,5378.1
202409,창날공원,4,79.9,4.8
202409,창날공원,9,1864.1,730.8
