STD_YM,o_id,d_id,purpose,modal,travl_sec,POP,no
202409,26110510,마라329771,1,0,5000,6.9,5
202409,26110545,마라329771,1,0,1720,6.2,5
202409,26110560,마라329771,1,0,1180,2.4,5
202409,26110580,마라329771,1,0,2640,13.6,5
202409,26140530,마라329771,1,0,1180,3.0,5
202409,26140560,마라329771,1,0,2870,5.1,5
202409,26140630,마라329771,1,0,520,3.5,5
202409,26140660,마라329771,1,0,1760,2.4,5
202409,26140680,마라329771,1,0,3120,14.9,5
202409,26170510,마라329771,1,0,2020,2.5,5
202409,26170520,마라329771,1,0,8420,2.9,5
202409,26170530,마라329771,1,0,3020,24.2,5
202409,26170660,마라329771,1,0,1820,4.8,5
202409,26170680,마라329771,1,0,2500,4.8,5
202409,26200530,마라329771,1,0,110,3.0,5
202409,26200550,마라329771,1,0,3540,6.3,5
202409,26200650,마라329771,1,0,2480,14.5,5
202409,26200660,마라329771,1,0,3000,10.4,5
202409,26230510,마라329771,1,0,4960,17.7,5
202409,26230520,마라329771,1,0,3810,28.1,5
202409,26230570,마라329771,1,0,2130,3.7,5
202409,26230600,마라329771,1,0,2630,2.4,5
202409,26230610,마라329771,1,0,4180,2.9,5
202409,26230640,마라329771,1,0,3000,14.9,5
202409,26230710,마라329771,1,0,1820,21.3,5
202409,26230720,마라329771,1,0,1600,6.2,5
202409,26230750,마라329771,1,0,1870,3.3,5
202409,26230770,마라329771,1,0,2850,4.9,5
202409,26230780,마라329771,1,0,2750,6.9,5
202409,26260550,마라329771,1,0,5180,7.5,5
202409,26260560,마라329771,1,0,1810,7.3,5
202409,26260580,마라329771,1,0,1950,6.9,5
202409,26260600,마라329771,1,0,2730,3.4,5
202409,26260740,마라329771,1,0,2690,2.4,5
202409,26290530,마라329771,1,0,1510,6.8,5
202409,26290540,마라329771,1,0,1790,5.9,5
202409,26290560,마라329771,1,0,5130,11.9,5
202409,26290570,마라329771,1,0,3540,3.4,5
202409,26290610,마라329771,1,0,1330,2.8,5
202409,26290620,마라329771,1,0,9690,3.4,5
