STD_YM,fac_name,fac_opr_date,visit_cnt,life_visit_cnt
202409,동매누리 작은도서관,30,44017.5,17515.1
202409,동매누리행복센터,30,83547.9,32175.5
202409,동매산둘레길,30,42265.4,19605.9
202409,무지개작은도서관,30,46561.2,18319.0
202409,보림공원,30,46561.2,18319.0
202409,사하구청 제2청사,30,57126.3,15575.4
202409,수풀작은도서관,30,120355.8,45004.2
202409,신남초등학교,30,45603.7,15563.4
202409,신평골목시장,30,50197.0,20334.2
202409,장림 롯데마트,30,11130.4,2662.3
202409,장림1동행정복지센터,30,46561.2,18319.0
202409,장림2동 행정복지센터,30,28525.7,11268.6
202409,장림공원,30,88271.3,30927.4
202409,장림생태공원,30,68055.0,15738.9
202409,하하센터,30,125101.9,32668.6
202409,효림초등학교,30,8078.0,6938.6
