STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202410,2730486.1,0,1,250667.6,9.2
202410,2730486.1,0,2,266792.9,9.8
202410,2730486.1,0,4,619125.9,22.7
202410,2730486.1,1,1,106643.4,3.9
202410,2730486.1,1,2,119315.9,4.4
202410,2730486.1,1,4,246691.0,9.0
202410,2730486.1,2,1,102878.4,3.8
202410,2730486.1,2,2,112463.3,4.1
202410,2730486.1,2,4,249104.7,9.1
202410,2730486.1,3,1,169947.1,6.2
202410,2730486.1,3,2,53726.6,2.0
202410,2730486.1,3,4,218694.5,8.0
202410,2730486.1,4,1,2674.7,0.1
202410,2730486.1,4,2,785.2,0.0
202410,2730486.1,4,4,8975.5,0.3
202410,2730486.1,9,1,52674.6,1.9
202410,2730486.1,9,2,51634.4,1.9
202410,2730486.1,9,4,97690.4,3.6
