STD_YM,ori_id,purpose,weekday,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
202410,마라357865,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.51,7.08,0.0,11.63,0.0,4.02,3.14,0.0,0.0,0.0,0.0,0.0,0.0,3.06,3.44,0.0,0.0
202410,마라358853,4,1,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.97,15.3,6.5,3.1,20.23,15.18,0.0,0.0,8.99,3.21,3.88,3.07,0.0,0.0,3.07,0.0
202410,마라358854,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202410,마라358855,4,1,0.0,3.8,0.0,0.0,2.63,0.0,22.93,3.32,18.07,36.04,23.87,10.7,18.57,30.24,1.8,14.64,15.28,24.45,8.59,3.42,4.44,0.0,0.0,18.39
202410,마라359849,4,1,9.26,30.7,35.86,40.32,56.33,70.33,272.13,358.19,379.4,389.66,443.12,439.93,480.45,524.93,470.92,472.81,583.92,804.17,742.26,475.64,325.72,341.35,189.13,94.55
202410,마라359852,4,1,0.0,7.23,0.0,3.51,16.7,14.16,44.93,73.92,74.64,109.17,140.45,74.36,128.65,125.6,98.23,103.01,46.06,75.45,31.47,37.08,26.96,32.89,100.27,44.68
202410,마라359854,4,1,6.35,17.63,0.0,20.76,114.64,43.29,359.76,266.84,680.3,732.54,1118.68,609.05,498.53,384.55,294.99,265.14,271.43,267.41,178.25,160.61,72.67,112.37,125.96,50.1
202410,마라359857,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.25,3.5,2.35,5.98,2.99,6.59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202410,마라359858,4,1,6.39,14.89,26.17,25.09,36.85,53.59,88.88,139.14,149.54,353.87,613.58,573.79,556.62,700.88,571.98,478.22,287.93,189.18,189.68,179.68,164.2,160.1,137.63,38.12
202410,마라360868,4,1,3.18,29.61,3.28,30.38,78.78,73.55,147.84,212.88,791.31,412.21,280.48,278.83,392.76,366.05,433.14,269.29,195.81,211.99,249.27,199.47,193.23,143.6,158.11,56.24
202410,마라362870,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.58,39.66,0.0,3.2,0.0,3.73,3.12,0.0,0.0,4.06,2.97,0.0,0.0,0.0,2.87,0.0
202410,마라363869,4,1,0.0,0.0,0.0,0.0,0.0,0.0,19.94,13.74,7.9,10.34,20.04,3.44,16.64,4.3,3.06,0.0,10.34,11.51,3.56,0.0,0.0,0.0,0.0,0.0
202410,마라363870,4,1,0.0,0.0,4.09,3.5,32.24,50.82,133.99,144.63,580.98,373.2,317.64,126.94,222.83,159.92,122.05,98.58,73.39,27.13,34.75,10.08,20.52,17.51,16.1,6.24
202410,마라363873,4,1,0.0,0.0,0.0,0.0,0.0,2.69,22.22,68.44,352.12,231.02,228.98,67.72,116.64,103.64,59.42,49.57,37.55,20.42,23.06,9.1,23.58,16.61,3.5,0.0
202410,마라364866,4,1,3.5,0.0,0.0,0.0,0.0,17.46,45.02,71.87,156.65,170.61,55.05,85.76,124.02,110.39,79.05,61.71,42.92,28.75,35.33,22.83,11.78,16.65,20.44,5.35
202410,마라364867,4,1,0.0,0.0,0.0,0.0,0.0,0.0,3.44,4.2,47.11,7.41,27.26,14.76,6.63,14.65,18.93,18.8,2.88,0.0,3.55,4.3,3.29,0.0,3.43,2.89
202410,마라364869,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.86,23.3,25.76,8.77,15.37,7.93,3.95,5.62,3.41,3.69,3.41,3.41,8.15,3.41,0.0,0.0
202410,마라365865,4,1,0.0,0.0,0.0,0.0,0.0,13.77,88.74,103.2,132.09,200.15,110.66,142.86,203.73,126.96,110.18,44.93,44.38,34.56,23.91,51.44,36.67,6.01,25.94,2.43
202410,마라367863,4,1,0.0,0.0,0.0,0.0,3.25,0.0,34.75,17.59,24.71,41.58,15.06,25.7,21.16,0.0,10.63,2.91,10.33,4.94,3.5,5.8,0.0,2.52,0.0,0.0
