STD_YM,o_id,d_id,purpose,modal,travl_sec,POP,no
202410,11110530,마라385856,1,0,22070,3.4,9
202410,11260610,마라385856,1,0,16410,3.4,9
202410,11440565,마라385856,1,0,15540,3.4,9
202410,11440585,마라385856,1,0,13630,4.1,9
202410,11500620,마라385856,1,0,6870,8.3,9
202410,11680531,마라385856,1,0,14400,4.4,9
202410,26110510,마라385856,1,0,2090,200.5,9
202410,26110520,마라385856,1,0,2680,21.1,9
202410,26110530,마라385856,1,0,3730,59.6,9
202410,26110545,마라385856,1,0,2250,19.2,9
202410,26110560,마라385856,1,0,2000,53.1,9
202410,26110570,마라385856,1,0,3270,18.2,9
202410,26110580,마라385856,1,0,3160,89.2,9
202410,26110590,마라385856,1,0,1540,24.1,9
202410,26110600,마라385856,1,0,2590,37.4,9
202410,26140510,마라385856,1,0,3050,12.8,9
202410,26140530,마라385856,1,0,1800,81.4,9
202410,26140540,마라385856,1,0,1570,33.2,9
202410,26140560,마라385856,1,0,1410,7.2,9
202410,26140570,마라385856,1,0,5900,8.3,9
202410,26140590,마라385856,1,0,2480,4.1,9
202410,26140615,마라385856,1,0,3210,37.1,9
202410,26140640,마라385856,1,0,2960,10.6,9
202410,26140660,마라385856,1,0,2230,25.7,9
202410,26140680,마라385856,1,0,4030,55.8,9
202410,26170510,마라385856,1,0,1870,3.7,9
202410,26170520,마라385856,1,0,1760,22.0,9
202410,26170530,마라385856,1,0,3700,50.2,9
202410,26170550,마라385856,1,0,3050,3.7,9
202410,26170560,마라385856,1,0,840,8.0,9
202410,26170570,마라385856,1,0,1440,84.5,9
202410,26170590,마라385856,1,0,1280,6.9,9
202410,26170645,마라385856,1,0,11910,19.2,9
202410,26170650,마라385856,1,0,570,7.3,9
202410,26170660,마라385856,1,0,1690,158.8,9
202410,26170680,마라385856,1,0,8440,14.7,9
202410,26200530,마라385856,1,0,2030,45.3,9
202410,26200550,마라385856,1,0,3240,24.8,9
202410,26200590,마라385856,1,0,2290,7.9,9
202410,26200605,마라385856,1,0,2790,3.6,9
202410,26200630,마라385856,1,0,2450,46.4,9
202410,26200640,마라385856,1,0,2790,15.0,9
202410,26200650,마라385856,1,0,2400,57.3,9
202410,26200660,마라385856,1,0,5220,27.6,9
202410,26200670,마라385856,1,0,4380,36.5,9
202410,26230510,마라385856,1,0,1390,360.2,9
