STD_YM,fac_name,fac_opr_date,visit_cnt,life_visit_cnt
202412,개금3동 주민센터,31,87061.2,21218.5
202412,개금종합사회복지관,31,26103.4,11520.0
202412,개금테마공원,31,331706.7,122139.2
202412,개성고등학교,31,65770.5,35650.8
202412,당감4동 주민센터,31,5335.5,4706.0
202412,당감골목시장,31,55032.1,21289.1
202412,당감사회복지관,31,111348.2,42300.4
202412,당감행복마루센터,31,78297.4,31894.5
202412,백양가족공원,31,57411.6,23092.0
202412,부산진구 동네 청년아루,31,78176.3,31780.9
202412,부산진구 생활문화센터,31,245594.6,101890.0
202412,부산진구 어린이청소년 도서관,31,38680.2,15296.0
202412,부산진구여성가족문화센터,31,77320.8,22096.4
202412,새당감시장,31,113994.3,43044.5
202412,한국신발관,31,128123.4,22018.1
