STD_YM,ori_id,purpose,weekday,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
202412,마라323767,1,0,6.36,7.12,0.0,18.31,19.07,55.11,112.08,84.01,44.85,14.78,35.0,18.62,31.42,31.05,42.67,54.65,73.93,28.13,47.52,8.11,7.96,22.89,15.14,0.0
202412,마라323771,1,0,0.0,0.0,0.0,3.5,0.0,7.0,10.5,0.0,0.0,0.0,3.53,3.53,0.0,0.0,0.0,0.0,0.0,10.59,0.0,0.0,0.0,0.0,0.0,0.0
202412,마라323772,1,0,3.17,7.16,12.42,18.15,38.59,27.46,45.66,7.07,23.67,10.98,67.79,44.33,18.29,40.41,55.53,77.64,62.83,51.84,74.71,61.06,41.73,15.69,34.09,14.2
202412,마라325764,1,0,0.0,0.0,0.0,0.0,0.0,3.27,6.54,15.65,0.0,0.0,4.78,0.0,4.5,0.0,20.1,5.6,2.53,0.0,0.0,0.0,0.0,0.0,0.0,3.28
202412,마라325778,1,0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99,3.63,0.0,3.99,0.0,0.0,0.0,0.0
202412,마라326768,1,0,0.0,0.0,0.0,0.0,0.0,4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202412,마라327772,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.28,10.16,3.26,0.0,3.64,0.0,0.0,3.26,0.0,0.0,8.96,0.0,0.0,0.0,0.0,0.0,0.0
202412,마라327789,1,0,0.0,0.0,3.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.85,5.7,12.14,13.8,13.57,33.49,44.36,31.13,9.19,3.75
202412,마라327791,1,0,0.0,5.58,21.41,0.0,10.51,3.27,15.09,6.8,2.73,11.91,13.88,42.07,15.2,29.38,46.52,31.34,49.18,47.83,72.25,32.93,52.78,96.53,43.48,7.09
202412,마라328769,1,0,0.0,3.5,3.5,0.0,0.0,0.0,2.67,0.0,0.0,9.86,2.67,6.17,8.46,3.5,7.82,5.98,11.7,9.22,7.0,0.0,6.36,32.1,18.44,6.36
202412,마라328789,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.62,0.0,0.0,0.0,3.62,0.0,10.86,47.06,3.62,0.0,0.0,0.0,0.0
202412,마라328790,1,0,0.0,3.31,6.38,0.0,9.83,2.85,4.02,0.0,2.85,0.0,10.44,32.08,38.75,47.11,50.81,28.93,84.13,100.29,127.01,102.28,143.63,109.41,112.56,7.3
202412,마라329766,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.52,7.04,3.52,0.0,0.0,3.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202412,마라329771,1,0,8.8,27.88,7.6,12.09,12.03,43.24,60.64,38.57,64.65,70.03,82.66,223.06,146.99,129.0,214.83,344.23,287.26,243.67,279.15,179.08,198.59,178.51,107.01,35.83
202412,마라329788,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.68,5.12,7.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202412,마라329791,1,0,101.73,390.33,335.76,289.02,214.13,274.83,297.93,246.94,241.33,352.28,509.12,811.18,1224.33,1247.96,1646.59,2460.57,3026.19,4127.1,4752.24,3857.17,3366.8,3120.57,2407.22,623.63
202412,마라330783,1,0,150.23,382.82,442.01,330.95,173.7,316.43,406.83,469.35,393.67,387.42,554.99,1123.61,1495.48,1593.83,2027.2,3028.2,4155.57,5474.14,6815.92,5271.95,4383.08,3595.53,2404.62,861.4
202412,마라330786,1,0,17.8,14.28,14.33,3.67,3.66,7.33,39.8,20.54,32.44,3.82,10.36,3.5,3.71,20.8,16.32,21.2,46.78,40.16,40.87,31.46,30.87,3.27,11.21,0.0
202412,마라330788,1,0,42.88,120.3,174.08,84.86,89.58,112.48,99.23,74.52,43.06,109.28,251.89,291.98,417.78,251.24,448.2,724.0,915.13,1483.66,1396.25,1216.23,1108.63,1014.43,756.23,253.5
202412,마라330790,1,0,0.0,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,7.24,12.05,34.2,7.2,21.28,45.47,17.98,20.02,7.38
202412,마라331768,1,0,2.67,46.29,56.66,42.57,58.53,125.18,139.57,210.17,80.96,66.85,109.03,194.62,241.55,238.73,222.99,314.31,366.59,578.98,674.84,454.99,467.19,430.92,288.24,99.18
202412,마라331770,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.32,0.0,0.0,0.0,0.0,0.0,0.0
202412,마라331777,1,0,0.0,0.0,7.03,0.0,0.0,3.26,0.0,0.0,3.36,7.68,0.0,3.36,28.13,14.44,3.84,3.84,0.0,10.44,66.29,3.36,0.0,0.0,3.26,0.0
