STD_YM,fac_name,visit_cnt,total_visit_cnt,life_visit_cnt
202412,개금3동 주민센터,1,8623.6,1942.6
202412,개금3동 주민센터,2,3903.5,1079.9
202412,개금3동 주민센터,3,3227.1,1031.1
202412,개금3동 주민센터,4,2328.0,653.9
202412,개금3동 주민센터,5,2373.7,830.1
202412,개금3동 주민센터,6,2215.9,662.5
202412,개금3동 주민센터,7,1787.1,559.6
202412,개금3동 주민센터,8,2442.1,651.6
202412,개금3동 주민센터,9,2017.5,555.5
202412,개금3동 주민센터,10,1975.1,528.6
202412,개금종합사회복지관,1,2337.1,1026.4
202412,개금종합사회복지관,2,1710.2,920.4
202412,개금종합사회복지관,3,1359.5,801.8
202412,개금종합사회복지관,4,1060.4,688.2
202412,개금종합사회복지관,5,1178.2,572.5
202412,개금종합사회복지관,6,1001.7,544.9
202412,개금종합사회복지관,7,1067.5,471.9
202412,개금종합사회복지관,8,1056.7,540.3
202412,개금종합사회복지관,9,994.7,496.3
202412,개금종합사회복지관,10,890.1,490.0
202412,개금테마공원,1,6921.5,2309.5
202412,개금테마공원,2,5668.7,2236.1
202412,개금테마공원,3,16796.8,3930.2
202412,개금테마공원,4,5433.3,2033.3
202412,개금테마공원,5,2936.7,1614.3
202412,개금테마공원,6,9923.4,2977.9
202412,개금테마공원,7,2996.0,1359.3
202412,개금테마공원,8,2865.4,1262.9
202412,개금테마공원,9,6840.9,2433.5
202412,개금테마공원,10,4047.5,1942.9
202412,개성고등학교,1,3897.5,1296.3
202412,개성고등학교,2,3305.5,1704.4
202412,개성고등학교,3,1598.3,755.1
202412,개성고등학교,4,2439.8,1556.0
202412,개성고등학교,5,1328.7,703.4
202412,개성고등학교,6,2296.8,1568.3
202412,개성고등학교,7,1289.3,741.0
202412,개성고등학교,8,1842.7,1290.2
202412,개성고등학교,9,1450.0,884.8
202412,개성고등학교,10,2265.5,1479.7
202412,당감4동 주민센터,1,749.4,618.5
202412,당감4동 주민센터,2,763.3,717.9
202412,당감4동 주민센터,3,380.9,380.9
202412,당감4동 주민센터,4,457.2,452.8
202412,당감4동 주민센터,5,345.2,336.0
202412,당감4동 주민센터,6,272.3,239.0
202412,당감4동 주민센터,7,430.2,397.3
202412,당감4동 주민센터,8,317.6,277.7
202412,당감4동 주민센터,9,100.9,100.9
202412,당감4동 주민센터,10,180.5,162.3
202412,당감골목시장,1,15295.9,4633.5
202412,당감골목시장,2,5744.4,2084.0
202412,당감골목시장,3,3247.1,1451.2
202412,당감골목시장,4,2800.0,1178.4
202412,당감골목시장,5,2498.1,1074.1
202412,당감골목시장,6,1642.1,822.8
202412,당감골목시장,7,1887.3,1044.8
202412,당감골목시장,8,1393.0,671.9
202412,당감골목시장,9,1301.2,564.3
202412,당감골목시장,10,1540.6,648.1
202412,당감사회복지관,1,14132.4,3863.8
202412,당감사회복지관,2,4768.0,2071.7
202412,당감사회복지관,3,3430.1,1637.7
202412,당감사회복지관,4,3252.3,1559.7
202412,당감사회복지관,5,2500.3,1147.3
202412,당감사회복지관,6,2870.9,1373.2
202412,당감사회복지관,7,2136.3,878.9
202412,당감사회복지관,8,2702.2,1127.3
202412,당감사회복지관,9,2385.7,1311.6
202412,당감사회복지관,10,2752.2,1124.4
202412,당감행복마루센터,1,8766.3,3128.3
202412,당감행복마루센터,2,3772.7,1460.6
202412,당감행복마루센터,3,2337.9,1079.5
202412,당감행복마루센터,4,2374.1,1057.7
202412,당감행복마루센터,5,2227.3,1034.0
202412,당감행복마루센터,6,2049.5,949.9
202412,당감행복마루센터,7,2062.4,945.4
202412,당감행복마루센터,8,1963.7,943.4
202412,당감행복마루센터,9,1696.9,805.9
202412,당감행복마루센터,10,1785.6,644.3
202412,백양가족공원,1,5700.8,2145.9
202412,백양가족공원,2,3404.6,1591.1
202412,백양가족공원,3,2228.5,934.7
202412,백양가족공원,4,1854.4,971.5
202412,백양가족공원,5,1723.5,588.5
202412,백양가족공원,6,1749.2,766.2
202412,백양가족공원,7,1552.0,678.0
202412,백양가족공원,8,1562.2,627.6
202412,백양가족공원,9,1407.0,628.7
202412,백양가족공원,10,1837.9,880.2
202412,부산진구 동네 청년아루,1,8760.9,3128.3
202412,부산진구 동네 청년아루,2,3779.7,1460.6
202412,부산진구 동네 청년아루,3,2338.9,1083.3
202412,부산진구 동네 청년아루,4,2388.0,1057.7
202412,부산진구 동네 청년아루,5,2227.3,1034.0
202412,부산진구 동네 청년아루,6,2091.9,968.2
202412,부산진구 동네 청년아루,7,2062.4,945.4
202412,부산진구 동네 청년아루,8,1930.1,922.4
