STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202406,2845071.7,0,1,543658.9,19.1
202406,2845071.7,0,2,101613.7,3.6
202406,2845071.7,0,4,326944.1,11.5
202406,2845071.7,1,1,313905.4,11.0
202406,2845071.7,1,2,83018.0,2.9
202406,2845071.7,1,4,183825.2,6.5
202406,2845071.7,2,1,157747.0,5.5
202406,2845071.7,2,2,37107.9,1.3
202406,2845071.7,2,4,79034.9,2.8
202406,2845071.7,3,1,356076.3,12.5
202406,2845071.7,3,2,109961.9,3.9
202406,2845071.7,3,4,196468.4,6.9
202406,2845071.7,4,1,5344.2,0.2
202406,2845071.7,4,2,412.0,0.0
202406,2845071.7,4,4,3289.5,0.1
202406,2845071.7,9,1,180520.7,6.3
202406,2845071.7,9,2,53443.0,1.9
202406,2845071.7,9,4,112700.6,4.0
