STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202406,2638837.9,0,1,492017.3,18.6
202406,2638837.9,0,2,214090.3,8.1
202406,2638837.9,0,4,416765.3,15.8
202406,2638837.9,1,1,226655.3,8.6
202406,2638837.9,1,2,134272.9,5.1
202406,2638837.9,1,4,196658.7,7.5
202406,2638837.9,2,1,158778.0,6.0
202406,2638837.9,2,2,87330.4,3.3
202406,2638837.9,2,4,113566.0,4.3
202406,2638837.9,3,1,194872.7,7.4
202406,2638837.9,3,2,72358.3,2.7
202406,2638837.9,3,4,114430.1,4.3
202406,2638837.9,4,1,3088.3,0.1
202406,2638837.9,4,2,617.6,0.0
202406,2638837.9,4,4,2479.9,0.1
202406,2638837.9,9,1,89779.5,3.4
202406,2638837.9,9,2,51114.0,1.9
202406,2638837.9,9,4,69963.3,2.7
