STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202411,2789384.7,0,1,516024.3,18.5
202411,2789384.7,0,2,240203.5,8.6
202411,2789384.7,0,4,439391.1,15.8
202411,2789384.7,1,1,234136.4,8.4
202411,2789384.7,1,2,148053.5,5.3
202411,2789384.7,1,4,205252.1,7.4
202411,2789384.7,2,1,164038.6,5.9
202411,2789384.7,2,2,98131.7,3.5
202411,2789384.7,2,4,117864.3,4.2
202411,2789384.7,3,1,199937.7,7.2
202411,2789384.7,3,2,76896.5,2.8
202411,2789384.7,3,4,119129.3,4.3
202411,2789384.7,4,1,3798.1,0.1
202411,2789384.7,4,2,660.4,0.0
202411,2789384.7,4,4,2850.4,0.1
202411,2789384.7,9,1,92580.4,3.3
202411,2789384.7,9,2,56502.4,2.0
202411,2789384.7,9,4,73934.0,2.7
