STD_YM,fac_name,visit_cnt,total_visit_cnt,life_visit_cnt
202411,개금3동 주민센터,1,9107.8,2149.2
202411,개금3동 주민센터,2,4069.2,1149.7
202411,개금3동 주민센터,3,3101.2,873.1
202411,개금3동 주민센터,4,2220.4,608.0
202411,개금3동 주민센터,5,2507.0,668.9
202411,개금3동 주민센터,6,2306.8,718.1
202411,개금3동 주민센터,7,2023.9,610.8
202411,개금3동 주민센터,8,1825.4,587.5
202411,개금3동 주민센터,9,2218.5,534.5
202411,개금3동 주민센터,10,2131.5,632.0
202411,개금종합사회복지관,1,2305.6,1119.7
202411,개금종합사회복지관,2,1485.5,946.1
202411,개금종합사회복지관,3,1275.9,793.3
202411,개금종합사회복지관,4,1562.7,863.0
202411,개금종합사회복지관,5,1549.8,793.4
202411,개금종합사회복지관,6,1323.6,603.2
202411,개금종합사회복지관,7,1056.4,582.6
202411,개금종합사회복지관,8,922.8,406.9
202411,개금종합사회복지관,9,969.4,489.0
202411,개금종합사회복지관,10,721.9,299.4
202411,개금테마공원,1,7644.0,2419.1
202411,개금테마공원,2,4783.9,1854.0
202411,개금테마공원,3,15287.0,3850.0
202411,개금테마공원,4,4713.1,1767.1
202411,개금테마공원,5,2644.2,1439.1
202411,개금테마공원,6,9749.7,3064.1
202411,개금테마공원,7,3392.2,1584.5
202411,개금테마공원,8,3090.3,1366.0
202411,개금테마공원,9,6065.8,2071.4
202411,개금테마공원,10,4380.1,2221.8
202411,개성고등학교,1,3747.6,1117.4
202411,개성고등학교,2,3503.5,1757.2
202411,개성고등학교,3,1544.7,642.9
202411,개성고등학교,4,2532.4,1552.9
202411,개성고등학교,5,1247.4,590.7
202411,개성고등학교,6,1885.4,1273.9
202411,개성고등학교,7,1428.9,708.8
202411,개성고등학교,8,1941.2,1260.0
202411,개성고등학교,9,1391.2,703.2
202411,개성고등학교,10,2303.6,1528.2
202411,당감4동 주민센터,1,730.6,610.7
202411,당감4동 주민센터,2,556.8,522.4
202411,당감4동 주민센터,3,460.9,449.7
202411,당감4동 주민센터,4,537.2,521.7
202411,당감4동 주민센터,5,375.5,346.0
202411,당감4동 주민센터,6,342.7,342.7
202411,당감4동 주민센터,7,339.3,320.1
202411,당감4동 주민센터,8,182.5,164.5
202411,당감4동 주민센터,9,176.5,176.5
202411,당감4동 주민센터,10,212.5,212.5
202411,당감골목시장,1,14721.4,4229.1
202411,당감골목시장,2,5584.0,2012.9
202411,당감골목시장,3,3485.1,1407.9
202411,당감골목시장,4,3157.1,1339.7
202411,당감골목시장,5,2334.4,847.8
202411,당감골목시장,6,1939.0,809.2
202411,당감골목시장,7,1632.5,858.9
202411,당감골목시장,8,1113.7,551.5
202411,당감골목시장,9,1775.7,749.5
202411,당감골목시장,10,1525.4,679.9
202411,당감사회복지관,1,13427.2,3668.2
202411,당감사회복지관,2,4789.5,1885.7
202411,당감사회복지관,3,3099.2,1324.5
202411,당감사회복지관,4,2541.4,1096.7
202411,당감사회복지관,5,3174.2,1463.1
202411,당감사회복지관,6,2618.7,1406.4
202411,당감사회복지관,7,2687.7,1311.4
202411,당감사회복지관,8,2778.5,1286.7
202411,당감사회복지관,9,2608.8,1212.9
202411,당감사회복지관,10,3164.8,1523.8
202411,당감행복마루센터,1,8957.1,2868.9
202411,당감행복마루센터,2,3994.2,1579.2
202411,당감행복마루센터,3,2782.0,1224.1
202411,당감행복마루센터,4,2102.7,822.5
202411,당감행복마루센터,5,1946.3,826.7
202411,당감행복마루센터,6,1719.0,802.2
202411,당감행복마루센터,7,2111.9,831.8
202411,당감행복마루센터,8,1937.4,708.1
202411,당감행복마루센터,9,1442.6,606.6
202411,당감행복마루센터,10,2298.3,815.2
202411,백양가족공원,1,5876.1,2055.7
202411,백양가족공원,2,3215.6,1373.2
202411,백양가족공원,3,2545.3,965.0
202411,백양가족공원,4,2283.0,907.2
202411,백양가족공원,5,1800.6,699.0
202411,백양가족공원,6,2051.4,851.8
202411,백양가족공원,7,1689.1,722.5
202411,백양가족공원,8,1896.9,768.5
202411,백양가족공원,9,1331.6,525.5
202411,백양가족공원,10,1728.2,687.8
202411,부산진구 동네 청년아루,1,8960.3,2868.9
202411,부산진구 동네 청년아루,2,4009.2,1586.7
202411,부산진구 동네 청년아루,3,2794.9,1228.4
202411,부산진구 동네 청년아루,4,2090.6,822.5
202411,부산진구 동네 청년아루,5,1924.9,813.8
202411,부산진구 동네 청년아루,6,1743.8,814.6
202411,부산진구 동네 청년아루,7,2082.9,815.2
202411,부산진구 동네 청년아루,8,1937.4,708.1
202411,부산진구 동네 청년아루,9,1442.6,606.6
202411,부산진구 동네 청년아루,10,2298.3,815.2
202411,부산진구 생활문화센터,1,29082.7,7971.8
202411,부산진구 생활문화센터,2,14730.3,5585.6
202411,부산진구 생활문화센터,3,9307.2,3721.3
202411,부산진구 생활문화센터,4,7763.8,3536.4
202411,부산진구 생활문화센터,5,6162.0,2849.6
202411,부산진구 생활문화센터,6,6013.5,2952.8
202411,부산진구 생활문화센터,7,4817.7,2277.0
202411,부산진구 생활문화센터,8,5095.2,2606.2
202411,부산진구 생활문화센터,9,4846.4,2114.9
202411,부산진구 생활문화센터,10,5255.5,2460.6
202411,부산진구 어린이청소년 도서관,1,6935.7,1990.7
202411,부산진구 어린이청소년 도서관,2,2629.7,878.2
202411,부산진구 어린이청소년 도서관,3,1462.5,676.6
202411,부산진구 어린이청소년 도서관,4,1262.6,427.6
202411,부산진구 어린이청소년 도서관,5,1001.8,326.7
202411,부산진구 어린이청소년 도서관,6,866.0,415.9
202411,부산진구 어린이청소년 도서관,7,874.5,380.1
202411,부산진구 어린이청소년 도서관,8,988.2,405.4
202411,부산진구 어린이청소년 도서관,9,998.7,490.8
202411,부산진구 어린이청소년 도서관,10,802.4,315.8
202411,부산진구여성가족문화센터,1,4919.1,1468.4
202411,부산진구여성가족문화센터,2,2367.6,701.5
202411,부산진구여성가족문화센터,3,1937.9,656.7
202411,부산진구여성가족문화센터,4,1842.3,649.4
202411,부산진구여성가족문화센터,5,1395.8,512.3
202411,부산진구여성가족문화센터,6,1525.6,561.8
202411,부산진구여성가족문화센터,7,1693.0,484.2
202411,부산진구여성가족문화센터,8,1889.6,642.9
202411,부산진구여성가족문화센터,9,1509.7,618.1
202411,부산진구여성가족문화센터,10,1460.4,365.2
202411,새당감시장,1,13846.7,3755.3
202411,새당감시장,2,4821.2,1846.6
202411,새당감시장,3,3043.3,1249.4
202411,새당감시장,4,2651.6,1203.9
202411,새당감시장,5,3125.2,1357.6
202411,새당감시장,6,2610.1,1370.7
202411,새당감시장,7,2632.6,1293.9
202411,새당감시장,8,2654.6,1217.6
202411,새당감시장,9,2693.8,1271.7
202411,새당감시장,10,3125.4,1443.9
202411,한국신발관,1,20522.3,2913.9
202411,한국신발관,2,7814.7,1614.8
202411,한국신발관,3,5131.8,1148.1
202411,한국신발관,4,3988.8,915.5
202411,한국신발관,5,4073.3,822.9
202411,한국신발관,6,3125.4,764.1
202411,한국신발관,7,3623.9,896.7
202411,한국신발관,8,3279.8,843.9
202411,한국신발관,9,3543.5,947.9
202411,한국신발관,10,2808.8,616.3
