STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202407,3118237.9,0,1,582522.7,18.7
202407,3118237.9,0,2,131905.8,4.2
202407,3118237.9,0,4,323397.8,10.4
202407,3118237.9,1,1,348382.2,11.2
202407,3118237.9,1,2,105095.2,3.4
202407,3118237.9,1,4,183272.1,5.9
202407,3118237.9,2,1,174131.9,5.6
202407,3118237.9,2,2,46761.5,1.5
202407,3118237.9,2,4,76740.0,2.5
202407,3118237.9,3,1,406927.8,13.0
202407,3118237.9,3,2,137029.5,4.4
202407,3118237.9,3,4,217326.1,7.0
202407,3118237.9,4,1,5240.5,0.2
202407,3118237.9,4,2,623.8,0.0
202407,3118237.9,4,4,2963.1,0.1
202407,3118237.9,9,1,196691.0,6.3
202407,3118237.9,9,2,67724.8,2.2
202407,3118237.9,9,4,111502.1,3.6
