STD_YM,fac_name,modal,visit_cnt,life_visit_cnt
202407,개금3동 주민센터,0,33234.6,3863.8
202407,개금3동 주민센터,1,18328.0,4244.8
202407,개금3동 주민센터,2,12798.2,1297.3
202407,개금3동 주민센터,3,22289.5,12008.7
202407,개금3동 주민센터,4,223.6,28.9
202407,개금3동 주민센터,9,11981.3,2585.8
202407,개금종합사회복지관,0,8899.6,1972.6
202407,개금종합사회복지관,1,6466.8,2529.9
202407,개금종합사회복지관,2,1839.2,352.0
202407,개금종합사회복지관,3,7010.1,6160.9
202407,개금종합사회복지관,4,65.1,8.0
202407,개금종합사회복지관,9,2622.1,894.2
202407,개금테마공원,0,91157.0,16570.9
202407,개금테마공원,1,55220.7,19637.2
202407,개금테마공원,2,18333.6,2586.9
202407,개금테마공원,3,64175.5,50581.2
202407,개금테마공원,4,802.0,109.8
202407,개금테마공원,9,35333.2,10888.6
202407,개성고등학교,0,19546.0,5924.8
202407,개성고등학교,1,19551.8,10611.0
202407,개성고등학교,2,2559.7,805.9
202407,개성고등학교,3,18092.1,17244.9
202407,개성고등학교,4,164.7,28.2
202407,개성고등학교,9,5816.7,2913.8
202407,당감4동 주민센터,0,2902.3,1389.4
202407,당감4동 주민센터,1,2922.5,2087.9
202407,당감4동 주민센터,2,338.4,114.7
202407,당감4동 주민센터,3,3950.9,3803.1
202407,당감4동 주민센터,4,14.0,6.5
202407,당감4동 주민센터,9,1240.2,875.3
202407,당감골목시장,0,18693.1,3028.2
202407,당감골목시장,1,16638.7,5487.1
202407,당감골목시장,2,3218.5,606.3
202407,당감골목시장,3,14765.2,11133.7
202407,당감골목시장,4,103.2,26.8
202407,당감골목시장,9,7768.0,2432.3
202407,당감사회복지관,0,43165.7,6609.1
202407,당감사회복지관,1,18424.6,3544.7
202407,당감사회복지관,2,8801.2,731.6
202407,당감사회복지관,3,36363.7,29333.2
202407,당감사회복지관,4,338.3,32.9
202407,당감사회복지관,9,20333.8,6240.0
202407,당감행복마루센터,0,27627.3,5247.1
202407,당감행복마루센터,1,11446.9,2751.5
202407,당감행복마루센터,2,6562.5,774.1
202407,당감행복마루센터,3,23640.0,17833.2
202407,당감행복마루센터,4,355.7,59.1
202407,당감행복마루센터,9,12710.4,4540.9
202407,백양가족공원,0,24394.9,4207.5
202407,백양가족공원,1,18400.9,7210.7
202407,백양가족공원,2,2804.2,399.1
202407,백양가족공원,3,9578.6,8891.6
202407,백양가족공원,4,172.9,3.5
202407,백양가족공원,9,5336.2,1659.2
202407,부산진구 동네 청년아루,0,27577.7,5247.1
202407,부산진구 동네 청년아루,1,11398.6,2751.5
202407,부산진구 동네 청년아루,2,6539.2,774.1
202407,부산진구 동네 청년아루,3,23576.3,17797.0
202407,부산진구 동네 청년아루,4,355.7,59.1
202407,부산진구 동네 청년아루,9,12694.9,4537.3
202407,부산진구 생활문화센터,0,76632.5,12628.0
202407,부산진구 생활문화센터,1,66760.9,21398.3
202407,부산진구 생활문화센터,2,12454.8,1627.0
202407,부산진구 생활문화센터,3,68511.9,59472.4
202407,부산진구 생활문화센터,4,626.5,67.5
202407,부산진구 생활문화센터,9,27254.2,8569.6
202407,부산진구 어린이청소년 도서관,0,15791.3,2851.4
202407,부산진구 어린이청소년 도서관,1,7920.0,2025.6
202407,부산진구 어린이청소년 도서관,2,2588.2,221.3
202407,부산진구 어린이청소년 도서관,3,11322.5,8555.3
202407,부산진구 어린이청소년 도서관,4,92.1,12.1
202407,부산진구 어린이청소년 도서관,9,7057.0,2340.3
202407,부산진구여성가족문화센터,0,26784.7,2878.8
202407,부산진구여성가족문화센터,1,15667.5,3167.3
202407,부산진구여성가족문화센터,2,7578.0,349.9
202407,부산진구여성가족문화센터,3,19923.6,14344.4
202407,부산진구여성가족문화센터,4,220.4,7.5
202407,부산진구여성가족문화센터,9,11332.9,2861.1
202407,새당감시장,0,43171.8,6563.5
202407,새당감시장,1,18474.4,3569.9
202407,새당감시장,2,8798.2,725.7
202407,새당감시장,3,35857.7,28901.0
202407,새당감시장,4,338.3,32.9
202407,새당감시장,9,20270.1,6179.1
202407,한국신발관,0,51890.9,5881.7
202407,한국신발관,1,22074.2,3886.8
202407,한국신발관,2,17520.0,1756.8
202407,한국신발관,3,34441.6,15945.2
202407,한국신발관,4,348.6,47.3
202407,한국신발관,9,18698.2,3972.8
