STD_YM,fac_name,visit_cnt,total_visit_cnt,life_visit_cnt
202407,개금3동 주민센터,1,8976.0,1968.4
202407,개금3동 주민센터,2,4309.9,1101.3
202407,개금3동 주민센터,3,3027.0,817.7
202407,개금3동 주민센터,4,3013.5,894.4
202407,개금3동 주민센터,5,2075.1,618.4
202407,개금3동 주민센터,6,2172.7,716.8
202407,개금3동 주민센터,7,1878.1,634.0
202407,개금3동 주민센터,8,2418.2,792.5
202407,개금3동 주민센터,9,2814.1,894.7
202407,개금3동 주민센터,10,2092.1,822.1
202407,개금종합사회복지관,1,2288.3,932.7
202407,개금종합사회복지관,2,1252.7,615.8
202407,개금종합사회복지관,3,1437.3,703.3
202407,개금종합사회복지관,4,1165.5,685.9
202407,개금종합사회복지관,5,1279.3,578.6
202407,개금종합사회복지관,6,1263.4,645.2
202407,개금종합사회복지관,7,1062.1,409.3
202407,개금종합사회복지관,8,1109.5,590.1
202407,개금종합사회복지관,9,893.4,508.0
202407,개금종합사회복지관,10,781.1,395.0
202407,개금테마공원,1,7973.9,2365.1
202407,개금테마공원,2,3811.4,1598.7
202407,개금테마공원,3,13138.8,3064.6
202407,개금테마공원,4,4302.4,1799.0
202407,개금테마공원,5,2793.3,1370.2
202407,개금테마공원,6,7286.9,2343.5
202407,개금테마공원,7,3389.8,1719.6
202407,개금테마공원,8,2631.9,1343.4
202407,개금테마공원,9,5291.7,1984.1
202407,개금테마공원,10,2931.9,1333.8
202407,개성고등학교,1,3769.5,1175.0
202407,개성고등학교,2,3390.1,1644.9
202407,개성고등학교,3,1811.9,936.1
202407,개성고등학교,4,1925.0,1238.7
202407,개성고등학교,5,1462.4,898.3
202407,개성고등학교,6,1805.1,1373.8
202407,개성고등학교,7,1023.6,605.9
202407,개성고등학교,8,1964.8,1298.0
202407,개성고등학교,9,1675.1,1067.3
202407,개성고등학교,10,2154.6,1510.9
202407,당감4동 주민센터,1,1465.2,956.5
202407,당감4동 주민센터,2,794.5,670.7
202407,당감4동 주민센터,3,824.2,688.6
202407,당감4동 주민센터,4,658.1,562.1
202407,당감4동 주민센터,5,802.9,675.4
202407,당감4동 주민센터,6,457.7,399.8
202407,당감4동 주민센터,7,333.2,290.5
202407,당감4동 주민센터,8,328.1,275.1
202407,당감4동 주민센터,9,498.1,444.1
202407,당감4동 주민센터,10,518.2,448.8
202407,당감골목시장,1,16070.0,4208.1
202407,당감골목시장,2,5827.7,2210.8
202407,당감골목시장,3,3366.4,1265.4
