STD_YM,fac_name,visit_cnt,total_visit_cnt,life_visit_cnt
202510,동매누리 작은도서관,1,4949.0,1687.0
202510,동매누리 작은도서관,2,2429.0,892.5
202510,동매누리 작은도서관,3,1816.5,889.0
202510,동매누리 작은도서관,4,1414.0,588.0
202510,동매누리 작은도서관,5,1452.5,665.0
202510,동매누리 작은도서관,6,1365.0,682.5
202510,동매누리 작은도서관,7,1347.5,570.5
202510,동매누리 작은도서관,8,1204.0,514.5
202510,동매누리 작은도서관,9,1543.5,700.0
202510,동매누리 작은도서관,10,1120.0,479.5
202510,동매누리행복센터,1,10069.5,3181.5
202510,동매누리행복센터,2,5278.0,2131.5
202510,동매누리행복센터,3,4063.5,1921.5
202510,동매누리행복센터,4,2730.0,1337.0
202510,동매누리행복센터,5,2520.0,1130.5
202510,동매누리행복센터,6,2394.0,1228.5
202510,동매누리행복센터,7,2058.0,875.0
202510,동매누리행복센터,8,2072.0,931.0
202510,동매누리행복센터,9,2079.0,976.5
202510,동매누리행복센터,10,2100.0,959.0
202510,동매산둘레길,1,8683.5,2740.5
202510,동매산둘레길,2,4725.0,1715.0
202510,동매산둘레길,3,3895.5,1561.0
202510,동매산둘레길,4,3332.0,1225.0
202510,동매산둘레길,5,3080.0,1400.0
202510,동매산둘레길,6,2856.0,1144.5
202510,동매산둘레길,7,3136.0,1270.5
202510,동매산둘레길,8,2716.0,917.0
202510,동매산둘레길,9,2268.0,1001.0
202510,동매산둘레길,10,2660.0,1263.5
202510,무지개작은도서관,1,16212.0,5344.5
202510,무지개작은도서관,2,5502.0,2338.0
202510,무지개작은도서관,3,3402.0,1673.0
202510,무지개작은도서관,4,2800.0,1298.5
202510,무지개작은도서관,5,2135.0,1134.0
202510,무지개작은도서관,6,2100.0,1155.0
202510,무지개작은도서관,7,1764.0,952.0
202510,무지개작은도서관,8,2464.0,1389.5
202510,무지개작은도서관,9,1890.0,1071.0
202510,무지개작은도서관,10,1540.0,917.0
202510,보림공원,1,16212.0,5344.5
202510,보림공원,2,5502.0,2338.0
202510,보림공원,3,3402.0,1673.0
202510,보림공원,4,2800.0,1298.5
202510,보림공원,5,2135.0,1134.0
202510,보림공원,6,2100.0,1155.0
202510,보림공원,7,1764.0,952.0
202510,보림공원,8,2464.0,1389.5
