STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202510,2782689,0,1,237093.5,8.5
202510,2782689,0,2,254572.5,9.1
202510,2782689,0,4,624932.0,22.5
202510,2782689,1,1,101864.0,3.7
202510,2782689,1,2,120326.5,4.3
202510,2782689,1,4,248524.5,8.9
202510,2782689,2,1,113627.5,4.1
202510,2782689,2,2,124645.5,4.5
202510,2782689,2,4,263865.0,9.5
202510,2782689,3,1,171871.0,6.2
202510,2782689,3,2,63738.5,2.3
202510,2782689,3,4,225533.0,8.1
202510,2782689,4,1,3059.0,0.1
202510,2782689,4,2,927.5,0.0
202510,2782689,4,4,9177.0,0.3
202510,2782689,9,1,51964.5,1.9
202510,2782689,9,2,60585.0,2.2
202510,2782689,9,4,106382.5,3.8
