STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202510,3470393.5,0,1,614019.0,17.7
202510,3470393.5,0,2,106319.5,3.1
202510,3470393.5,0,4,393284.5,11.3
202510,3470393.5,1,1,394866.5,11.4
202510,3470393.5,1,2,99074.5,2.9
202510,3470393.5,1,4,253011.5,7.3
202510,3470393.5,2,1,164689.0,4.7
202510,3470393.5,2,2,40964.0,1.2
202510,3470393.5,2,4,88816.0,2.6
202510,3470393.5,3,1,455031.5,13.1
202510,3470393.5,3,2,138131.0,4.0
202510,3470393.5,3,4,280738.5,8.1
202510,3470393.5,4,1,5974.5,0.2
202510,3470393.5,4,2,707.0,0.0
202510,3470393.5,4,4,4091.5,0.1
202510,3470393.5,9,1,219051.0,6.3
202510,3470393.5,9,2,64176.0,1.8
202510,3470393.5,9,4,147448.0,4.2
