STD_YM,fac_name,fac_opr_date,visit_cnt,life_visit_cnt
202502,감전동 행정복지센터,28,32873.9,8889.5
202502,감전시장,28,73008.4,22434.9
202502,감전천,28,149321.5,11946.4
202502,괘법동 행정복지세터,28,49797.0,18149.6
202502,르네시떼,28,174157.3,33948.2
202502,사상 보건소,28,54409.7,9458.4
202502,사상근린공원,28,28208.5,6840.1
202502,사상인디스테이션,28,340924.1,97557.6
202502,사상평생학습관,28,26234.2,8146.8
202502,삼락생태공원낙동제방인샘꽃길,28,1317.4,361.8
202502,삼성테스코홈플러스서부산점,28,174157.3,33948.2
202502,새벽시장,28,169347.7,33795.0
202502,애플 아울렛 서부시외버스터미널,28,1495144.4,426727.3
202502,이마트 사상점,28,174157.3,33948.2
202502,창날공원,28,26251.5,10242.8
