STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202502,2562006,0,1,460254.3,18.0
202502,2562006,0,2,216138.3,8.4
202502,2562006,0,4,398908.9,15.6
202502,2562006,1,1,219774.2,8.6
202502,2562006,1,2,129143.4,5.0
202502,2562006,1,4,198943.8,7.8
202502,2562006,2,1,143957.1,5.6
202502,2562006,2,2,82021.8,3.2
202502,2562006,2,4,108450.3,4.2
202502,2562006,3,1,197816.3,7.7
202502,2562006,3,2,67498.4,2.6
202502,2562006,3,4,125753.9,4.9
202502,2562006,4,1,2724.2,0.1
202502,2562006,4,2,601.6,0.0
202502,2562006,4,4,2675.8,0.1
202502,2562006,9,1,86554.6,3.4
202502,2562006,9,2,48758.3,1.9
202502,2562006,9,4,72030.8,2.8
