STD_YM,fac_name,fac_opr_date,visit_cnt,life_visit_cnt
202402,감전동 행정복지센터,29,40437.1,11082.2
202402,감전시장,29,75944.2,22594.1
202402,감전천,29,143884.0,10721.2
202402,괘법동 행정복지세터,29,49697.2,17965.0
202402,르네시떼,29,185611.8,33190.4
202402,사상 보건소,29,53350.2,8808.5
202402,사상근린공원,29,31373.2,7074.6
202402,사상인디스테이션,29,282884.9,69331.6
202402,사상평생학습관,29,27713.9,8988.5
202402,삼락생태공원낙동제방인샘꽃길,29,2301.1,628.7
202402,삼성테스코홈플러스서부산점,29,185611.8,33190.4
202402,새벽시장,29,158072.1,31767.8
202402,애플 아울렛 서부시외버스터미널,29,1082057.8,283491.2
202402,이마트 사상점,29,185611.8,33190.4
202402,창날공원,29,53197.2,18486.2
