STD_YM,fac_name,fac_opr_date,visit_cnt,life_visit_cnt
202509,개금3동 주민센터,30,88781.0,22281.0
202509,개금종합사회복지관,30,28416.5,13580.0
202509,개금테마공원,30,348264.0,122430.0
202509,개성고등학교,30,83125.0,44541.0
202509,당감4동 주민센터,30,5323.5,4945.5
202509,당감골목시장,30,65208.5,24255.0
202509,당감사회복지관,30,118450.5,45951.5
202509,당감행복마루센터,30,83415.5,33743.5
202509,백양가족공원,30,45496.5,19411.0
202509,부산진구 동네 청년아루,30,83331.5,33708.5
202509,부산진구 생활문화센터,30,260130.5,109858.0
202509,부산진구 어린이청소년 도서관,30,43354.5,17272.5
202509,부산진구여성가족문화센터,30,74396.0,21010.5
202509,새당감시장,30,118695.5,45594.5
202509,한국신발관,30,102574.5,16702.0
