STD_YM,fac_name,visit_cnt,total_visit_cnt,life_visit_cnt
202509,개금3동 주민센터,1,8991.5,2093.0
202509,개금3동 주민센터,2,4235.0,1253.0
202509,개금3동 주민센터,3,3055.5,885.5
202509,개금3동 주민센터,4,2856.0,983.5
202509,개금3동 주민센터,5,2397.5,647.5
202509,개금3동 주민센터,6,2289.0,724.5
202509,개금3동 주민센터,7,2352.0,682.5
202509,개금3동 주민센터,8,2408.0,682.5
202509,개금3동 주민센터,9,2142.0,567.0
202509,개금3동 주민센터,10,1890.0,514.5
202509,개금종합사회복지관,1,2170.0,1053.5
202509,개금종합사회복지관,2,1372.0,833.0
202509,개금종합사회복지관,3,1228.5,742.0
202509,개금종합사회복지관,4,1092.0,661.5
202509,개금종합사회복지관,5,997.5,588.0
202509,개금종합사회복지관,6,1260.0,742.0
202509,개금종합사회복지관,7,1127.0,563.5
202509,개금종합사회복지관,8,980.0,577.5
202509,개금종합사회복지관,9,567.0,325.5
202509,개금종합사회복지관,10,945.0,388.5
202509,개금테마공원,1,7182.0,2404.5
202509,개금테마공원,2,5285.0,1890.0
202509,개금테마공원,3,3454.5,1543.5
202509,개금테마공원,4,17724.0,3818.5
202509,개금테마공원,5,2817.5,1477.0
202509,개금테마공원,6,3696.0,1487.5
202509,개금테마공원,7,2646.0,1613.5
202509,개금테마공원,8,9772.0,3167.5
202509,개금테마공원,9,2677.5,1459.5
202509,개금테마공원,10,2800.0,1312.5
202509,개성고등학교,1,4581.5,1666.0
202509,개성고등학교,2,3850.0,1925.0
202509,개성고등학교,3,2142.0,927.5
202509,개성고등학교,4,2660.0,1641.5
202509,개성고등학교,5,1522.5,836.5
202509,개성고등학교,6,2331.0,1417.5
202509,개성고등학교,7,1690.5,945.0
202509,개성고등학교,8,1848.0,1218.0
202509,개성고등학교,9,1764.0,896.0
202509,개성고등학교,10,2065.0,1253.0
202509,당감4동 주민센터,1,700.0,623.0
202509,당감4동 주민센터,2,532.0,507.5
202509,당감4동 주민센터,3,504.0,486.5
202509,당감4동 주민센터,4,504.0,472.5
202509,당감4동 주민센터,5,367.5,357.0
202509,당감4동 주민센터,6,336.0,315.0
202509,당감4동 주민센터,7,441.0,399.0
202509,당감4동 주민센터,8,336.0,336.0
202509,당감4동 주민센터,9,378.0,357.0
202509,당감4동 주민센터,10,280.0,280.0
202509,당감골목시장,1,17811.5,5211.5
202509,당감골목시장,2,7140.0,2663.5
202509,당감골목시장,3,4494.0,1666.0
202509,당감골목시장,4,3472.0,1463.0
202509,당감골목시장,5,2607.5,1151.5
202509,당감골목시장,6,2121.0,864.5
202509,당감골목시장,7,2082.5,924.0
202509,당감골목시장,8,1820.0,763.0
202509,당감골목시장,9,1795.5,896.0
202509,당감골목시장,10,1470.0,763.0
202509,당감사회복지관,1,13531.0,3955.0
202509,당감사회복지관,2,4697.0,1879.5
202509,당감사회복지관,3,3696.0,1683.5
202509,당감사회복지관,4,2898.0,1498.0
202509,당감사회복지관,5,3080.0,1452.5
202509,당감사회복지관,6,2751.0,1305.5
202509,당감사회복지관,7,2744.0,1372.0
202509,당감사회복지관,8,2884.0,1361.5
202509,당감사회복지관,9,2551.5,1228.5
202509,당감사회복지관,10,2765.0,1438.5
202509,당감행복마루센터,1,9446.5,3402.0
202509,당감행복마루센터,2,4403.0,1711.5
202509,당감행복마루센터,3,3034.5,1228.5
202509,당감행복마루센터,4,2324.0,983.5
202509,당감행복마루센터,5,1942.5,990.5
202509,당감행복마루센터,6,1974.0,917.0
202509,당감행복마루센터,7,1739.5,920.5
202509,당감행복마루센터,8,1904.0,794.5
202509,당감행복마루센터,9,1795.5,717.5
202509,당감행복마루센터,10,2205.0,1102.5
202509,백양가족공원,1,5187.0,2117.5
202509,백양가족공원,2,2954.0,1543.5
202509,백양가족공원,3,2310.0,1151.5
202509,백양가족공원,4,1862.0,836.5
202509,백양가족공원,5,1890.0,896.0
202509,백양가족공원,6,1617.0,563.5
202509,백양가족공원,7,1543.5,682.5
202509,백양가족공원,8,1932.0,794.5
202509,백양가족공원,9,1543.5,721.0
202509,백양가족공원,10,1330.0,528.5
202509,부산진구 동네 청년아루,1,9443.0,3402.0
202509,부산진구 동네 청년아루,2,4410.0,1711.5
202509,부산진구 동네 청년아루,3,3045.0,1228.5
202509,부산진구 동네 청년아루,4,2324.0,983.5
202509,부산진구 동네 청년아루,5,1942.5,990.5
202509,부산진구 동네 청년아루,6,1974.0,917.0
202509,부산진구 동네 청년아루,7,1764.0,920.5
202509,부산진구 동네 청년아루,8,1904.0,794.5
202509,부산진구 동네 청년아루,9,1827.0,721.0
202509,부산진구 동네 청년아루,10,2205.0,1099.0
202509,부산진구 생활문화센터,1,33838.0,9688.0
202509,부산진구 생활문화센터,2,15295.0,6265.0
202509,부산진구 생활문화센터,3,10111.5,4823.0
202509,부산진구 생활문화센터,4,7798.0,3566.5
202509,부산진구 생활문화센터,5,7070.0,3325.0
202509,부산진구 생활문화센터,6,5775.0,2863.0
202509,부산진구 생활문화센터,7,4973.5,2506.0
202509,부산진구 생활문화센터,8,5180.0,2639.0
202509,부산진구 생활문화센터,9,4441.5,2359.0
202509,부산진구 생활문화센터,10,4410.0,2268.0
202509,부산진구 어린이청소년 도서관,1,8228.5,2674.0
202509,부산진구 어린이청소년 도서관,2,3045.0,1449.0
202509,부산진구 어린이청소년 도서관,3,1785.0,847.0
202509,부산진구 어린이청소년 도서관,4,1302.0,567.0
202509,부산진구 어린이청소년 도서관,5,1417.5,633.5
202509,부산진구 어린이청소년 도서관,6,1113.0,458.5
202509,부산진구 어린이청소년 도서관,7,980.0,381.5
202509,부산진구 어린이청소년 도서관,8,1008.0,441.0
202509,부산진구 어린이청소년 도서관,9,693.0,325.5
202509,부산진구 어린이청소년 도서관,10,665.0,406.0
