STD_YM,fac_name,visit_cnt,total_visit_cnt,life_visit_cnt
202509,장림2동 행정복지센터,9,787.5,444.5
202509,장림2동 행정복지센터,10,840.0,399.0
202509,장림공원,1,15988.0,4875.5
202509,장림공원,2,6055.0,2394.0
202509,장림공원,3,3906.0,1599.5
202509,장림공원,4,2968.0,1281.0
202509,장림공원,5,2187.5,990.5
202509,장림공원,6,1659.0,801.5
202509,장림공원,7,1911.0,913.5
202509,장림공원,8,1708.0,787.5
202509,장림공원,9,1732.5,700.0
202509,장림공원,10,1680.0,857.5
202509,장림생태공원,2,12866.0,2478.0
202509,장림생태공원,4,5810.0,1421.0
202509,장림생태공원,6,3339.0,931.0
202509,장림생태공원,8,2576.0,791.0
202509,장림생태공원,10,2310.0,777.0
202509,하하센터,1,25039.0,5274.5
202509,하하센터,2,8414.0,2310.0
202509,하하센터,3,5187.0,1575.0
202509,하하센터,4,4158.0,1277.5
202509,하하센터,5,4095.0,1235.5
202509,하하센터,6,3255.0,1095.5
202509,하하센터,7,3209.5,913.5
202509,하하센터,8,3248.0,920.5
202509,하하센터,9,4032.0,1225.0
202509,하하센터,10,3605.0,1260.0
202509,효림초등학교,1,1774.5,920.5
202509,효림초등학교,2,987.0,637.0
202509,효림초등학교,3,714.0,497.0
202509,효림초등학교,4,672.0,595.0
202509,효림초등학교,5,577.5,532.0
202509,효림초등학교,6,714.0,591.5
202509,효림초등학교,7,612.5,472.5
202509,효림초등학교,8,644.0,616.0
202509,효림초등학교,9,504.0,406.0
202509,효림초등학교,10,280.0,234.5
