STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202508,3135747.5,0,1,577678.6,18.4
202508,3135747.5,0,2,96101.7,3.1
202508,3135747.5,0,4,325332.1,10.4
202508,3135747.5,1,1,374788.8,12.0
202508,3135747.5,1,2,86953.3,2.8
202508,3135747.5,1,4,220304.9,7.0
202508,3135747.5,2,1,156692.7,5.0
202508,3135747.5,2,2,34775.8,1.1
202508,3135747.5,2,4,76176.2,2.4
202508,3135747.5,3,1,423047.4,13.5
202508,3135747.5,3,2,118615.0,3.8
202508,3135747.5,3,4,241659.7,7.7
202508,3135747.5,4,1,5413.7,0.2
202508,3135747.5,4,2,554.2,0.0
202508,3135747.5,4,4,3154.2,0.1
202508,3135747.5,9,1,211781.4,6.8
202508,3135747.5,9,2,55639.0,1.8
202508,3135747.5,9,4,127078.8,4.1
