STD_YM,gid,purpose,weekday,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
202508,마라323767,1,0,0.0,13.99,23.9,35.0,23.49,39.28,77.13,100.9,76.81,24.4,15.46,55.79,32.23,45.82,30.66,42.54,23.41,27.77,39.19,27.01,29.18,23.56,2.61,0.0
202508,마라323771,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.99,0.0,3.33,0.0,6.66,3.33,0.0,0.0,3.33,6.66,6.66,0.0,0.0,0.0
202508,마라323772,1,0,3.5,19.18,0.0,34.92,21.83,109.18,36.46,13.82,23.62,25.65,26.85,64.9,42.35,28.32,43.37,30.45,49.81,82.14,46.71,43.78,64.98,37.73,25.25,6.27
202508,마라325764,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.63,0.0,3.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202508,마라326768,1,0,0.0,0.0,0.0,0.0,4.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202508,마라327786,1,0,0.0,0.0,0.0,0.0,0.0,0.0,4.98,14.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202508,마라327789,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,0.0,3.49,0.0,0.0,0.0,0.0
202508,마라327791,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.43,6.86,10.83,3.49,17.87,3.97,18.51,14.83,15.31,26.83,3.06,0.0
202508,마라328769,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,0.0,0.0,2.64,0.0,0.0
202508,마라328789,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.96,11.97,12.48,28.41,4.5,7.98,16.98,30.99,52.92,42.33,45.21,0.0,43.86,7.95,0.0
202508,마라328790,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.41,3.03,0.0,9.48,3.41,10.24,6.44,6.84,10.23,16.84,9.85,33.15,63.96,23.1,92.77,45.0,7.59
202508,마라329771,1,0,3.5,28.15,18.54,11.23,42.25,54.35,90.21,68.74,58.94,64.65,82.14,158.25,202.6,149.32,154.31,270.16,228.35,198.51,242.02,213.58,169.76,166.71,117.07,43.54
202508,마라329788,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.61,7.83,15.66,5.22,5.22,0.0,0.0,0.0,0.0,0.0,0.0
202508,마라329791,1,0,147.37,467.39,408.62,331.23,273.3,229.72,381.4,407.55,370.66,404.57,687.4,1280.0,1438.25,1633.3,1703.39,2499.07,3477.68,4744.51,5499.12,4896.9,3867.44,3599.48,2819.28,820.25
202508,마라330783,1,0,178.29,502.0,531.22,351.23,237.34,270.19,327.62,435.73,552.04,426.3,761.65,1289.13,1819.66,1593.93,2014.52,2883.28,3561.5,5190.85,6175.2,5259.04,4752.99,3435.89,2375.93,656.89
202508,마라330786,1,0,10.86,24.22,3.5,6.48,3.06,17.58,13.3,0.0,7.18,11.83,15.89,17.2,13.05,17.45,28.51,30.88,126.87,47.13,86.28,9.27,25.81,23.3,10.98,2.95
202508,마라330788,1,0,48.7,150.52,154.86,68.03,93.15,116.59,65.0,57.04,86.74,157.05,222.12,292.49,325.62,337.57,316.65,592.99,749.97,974.71,1060.07,1050.45,1037.5,877.64,773.17,281.06
202508,마라330790,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.49,0.0,6.98,6.51,10.87,10.94
202508,마라331768,1,0,9.69,42.51,28.84,41.72,50.63,81.02,120.71,188.52,89.16,44.0,110.45,155.78,220.76,194.9,239.84,294.91,323.75,490.35,546.69,424.32,305.35,378.5,228.58,64.63
202508,마라331777,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,0.0,3.9,3.9,0.0,0.0,3.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202508,마라331786,1,0,86.61,191.18,104.28,151.02,79.54,194.29,175.17,189.8,149.38,145.8,219.45,260.65,348.72,438.74,405.53,618.12,943.33,1144.74,1556.16,1306.07,1218.84,997.68,696.06,189.42
202508,마라331787,1,0,0.0,0.0,0.0,0.0,0.0,4.56,0.0,0.0,2.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0
202508,마라332763,1,0,12.66,62.89,41.25,41.28,86.62,29.27,31.52,37.13,14.74,5.28,23.39,18.95,34.1,30.4,27.39,43.06,10.67,15.49,36.61,33.89,52.61,28.71,31.87,6.38
202508,마라332772,1,0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.93,0.0,0.0,3.22,2.49
202508,마라332784,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.08,3.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67
202508,마라332786,1,0,0.0,0.0,2.66,14.04,3.8,0.0,2.66,6.45,0.0,0.0,6.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.68,13.48,3.79,6.45,3.79,0.0
202508,마라332790,1,0,0.0,3.06,0.0,0.0,0.0,0.0,0.0,0.0,15.67,0.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.43,3.5,0.0,0.0,0.0
202508,마라333786,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,0.0,0.0,0.0,0.0,0.0,0.0,7.78,3.89,0.0,9.97,12.57,32.2,15.17
202508,마라333788,1,0,0.0,0.0,6.55,0.0,0.0,0.0,0.0,0.0,11.2,3.4,3.4,6.85,3.62,0.0,0.0,6.44,9.84,9.84,72.14,70.1,21.7,30.81,15.94,0.0
202508,마라333789,1,0,3.58,3.58,0.0,3.96,19.8,15.84,0.0,0.0,3.96,0.0,0.0,0.0,3.28,3.58,7.16,0.0,6.56,7.24,6.86,0.0,3.28,3.58,3.58,0.0
202508,마라333790,1,0,71.2,170.18,146.44,75.17,72.07,44.62,106.53,111.38,110.55,161.13,231.33,478.99,590.5,568.08,670.9,1028.38,1418.14,1877.25,2516.22,1740.17,1619.43,1297.11,1019.81,302.62
202508,마라334766,1,0,7.59,43.05,29.92,21.67,9.31,11.42,12.48,22.58,24.76,47.23,27.52,80.95,108.36,134.16,181.45,218.19,318.62,448.53,530.68,501.79,530.59,462.72,299.44,104.36
202508,마라334767,1,0,0.0,3.51,0.0,4.39,0.0,0.0,3.06,3.06,3.51,6.11,2.93,27.47,33.5,24.78,38.35,23.9,47.58,70.58,52.27,109.91,59.67,43.95,32.7,3.48
202508,마라334768,1,0,82.06,290.53,196.91,169.82,156.45,122.6,149.21,190.68,190.24,203.07,302.37,586.98,693.61,939.77,878.37,1469.73,1901.85,2235.31,2275.24,2102.83,2059.72,1887.82,1332.46,380.94
202508,마라334782,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,2.95,0.0,2.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202508,마라334786,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.09,0.0,3.09,10.2,15.42,12.36,12.61,15.98,24.72,12.16,18.39,15.3,22.27,18.19,12.48,0.0
202508,마라334788,1,0,134.55,379.18,292.8,204.53,139.16,226.53,239.07,180.03,150.72,276.69,467.52,704.82,1035.89,985.65,1427.99,1980.85,2382.63,3457.69,3711.28,3467.29,3150.25,2808.16,1732.17,450.81
202508,마라334789,1,0,0.0,6.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.66,6.13,6.18,12.36,3.3,9.48,17.58,30.93,17.49,3.3,3.61,10.83,24.39,10.84,0.0
202508,마라335767,1,0,56.75,200.63,146.87,144.94,135.49,165.19,137.0,93.7,161.65,162.12,387.45,710.87,634.77,761.47,735.27,1033.37,1511.23,2438.9,2335.37,2396.45,2169.26,1575.52,1108.26,306.27
202508,마라335768,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48,0.0,3.48,0.0,0.0
202508,마라335769,1,0,0.0,6.31,3.15,7.99,7.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,21.33,9.45,0.0,0.0,6.3,5.57,9.45,2.42,8.72,4.84
202508,마라335770,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.35,5.25,10.73,5.86
202508,마라335772,1,0,21.42,88.67,55.19,59.52,38.09,70.59,61.02,67.17,70.73,103.57,104.72,180.11,194.74,232.66,226.94,292.46,417.57,552.79,569.45,525.62,500.9,353.8,289.22,63.62
202508,마라335776,1,0,24.09,25.18,10.16,6.9,18.31,55.66,63.45,14.58,31.9,39.16,48.61,13.74,42.14,31.41,27.21,116.76,89.99,45.8,31.44,33.05,31.87,30.0,24.85,21.51
202508,마라335777,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.14,0.0,2.95,0.0,0.0,0.0,0.0,9.13,9.89,11.74,10.43
202508,마라335786,1,0,0.0,0.0,0.0,7.36,0.0,3.58,3.58,0.0,0.0,0.0,0.0,9.56,3.66,7.41,11.72,9.6,10.74,32.63,18.26,7.36,24.08,14.8,3.78,0.0
202508,마라335790,1,0,74.78,204.5,175.31,114.97,128.14,83.09,106.42,321.12,215.34,377.96,701.36,1005.65,1416.66,1360.59,1556.18,2024.21,3145.19,4239.93,4948.67,3811.5,3417.41,2728.62,2014.33,570.09
202508,마라336767,1,0,0.0,0.0,0.0,0.0,0.0,2.51,0.0,0.0,0.0,0.0,0.0,0.0,3.06,5.57,5.57,5.57,14.75,8.08,2.51,5.57,3.06,6.19,0.0,0.0
202508,마라336771,1,0,13.75,106.23,58.37,39.78,27.63,40.82,32.78,49.62,57.45,69.76,133.12,229.5,205.06,183.64,242.11,322.44,457.73,638.65,531.89,484.05,396.37,298.41,186.23,49.48
202508,마라336772,1,0,0.0,0.0,0.0,0.0,0.0,2.69,0.0,5.22,0.0,0.0,5.22,7.99,7.83,5.38,13.21,15.82,10.6,7.91,5.22,13.05,7.91,2.61,5.38,0.0
202508,마라336773,1,0,5.22,24.54,21.38,19.9,39.02,101.64,84.97,72.25,95.83,62.65,93.04,87.16,77.57,119.22,156.99,240.61,340.08,312.39,294.94,332.91,357.39,288.34,222.0,57.73
202508,마라336777,1,0,6.85,18.41,20.03,10.03,18.41,22.26,9.9,25.88,3.4,16.99,6.9,14.98,17.14,38.36,37.78,65.18,92.2,107.13,77.68,69.5,101.25,113.68,181.25,17.16
202508,마라336783,1,0,6.75,81.98,17.67,45.3,16.44,27.39,45.01,86.14,117.65,28.33,53.4,104.91,127.08,101.75,109.74,163.98,224.48,278.8,337.73,355.45,288.23,266.92,183.59,66.06
202508,마라336784,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,4.5,0.0,0.0,0.0,3.5,3.99,0.0,70.44,24.47,50.49,0.0,16.98,7.98
