STD_YM,ori_id,purpose,weekday,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
202403,마라337838,1,0,0.0,0.0,0.0,0.0,0.0,4.84,26.62,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202403,마라337842,1,0,0.0,6.47,3.93,0.0,6.55,3.56,7.43,50.37,41.85,24.5,21.24,15.42,18.29,59.71,42.7,70.28,49.63,6.23,23.29,17.67,27.32,15.43,9.17,0.0
202403,마라339835,1,0,0.0,0.0,0.0,0.0,0.0,9.98,0.0,3.88,3.88,0.0,0.0,3.88,0.0,0.0,0.0,0.0,3.05,6.55,0.0,0.0,6.55,0.0,0.0,0.0
202403,마라339838,1,0,10.32,18.02,10.69,26.77,43.08,76.2,76.03,105.4,72.25,47.78,72.03,60.73,101.24,40.08,125.12,169.01,118.01,152.54,173.36,138.27,121.73,65.87,29.04,25.44
202403,마라340842,1,0,0.0,7.0,0.0,0.0,0.0,6.8,3.88,3.5,7.0,3.62,7.38,24.66,3.88,10.64,7.76,15.02,25.69,6.76,7.76,15.52,31.04,3.88,6.9,0.0
202403,마라340846,1,0,13.31,152.99,310.83,49.49,51.78,134.02,157.71,79.34,73.9,69.93,53.43,56.65,79.05,66.5,70.81,121.87,136.87,85.41,106.34,125.59,105.18,102.35,87.32,6.58
202403,마라341844,1,0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,0.0,0.0,0.0,0.0
202403,마라341846,1,0,0.0,0.0,0.0,0.0,0.0,22.96,0.0,2.87,7.54,4.0,2.87,4.0,3.51,6.38,22.35,14.35,10.38,24.0,8.0,20.0,0.0,4.0,0.0,0.0
202403,마라341850,1,0,0.0,0.0,0.0,3.5,3.79,0.0,0.0,0.0,3.5,0.0,0.0,7.36,3.79,3.79,7.36,12.46,0.0,3.41,11.02,6.82,6.58,10.79,8.26,3.3
202403,마라342836,1,0,36.67,158.5,154.73,184.61,110.57,125.79,106.7,122.59,147.31,233.8,378.76,676.87,823.62,857.62,1025.79,1612.28,2189.1,2807.19,3117.38,2347.28,2090.29,1797.94,1195.56,387.52
202403,마라342839,1,0,3.93,0.0,0.0,0.0,0.0,0.0,0.0,3.93,0.0,3.93,0.0,15.72,15.72,3.93,3.93,3.93,3.93,0.0,7.86,3.93,3.93,3.93,3.93,0.0
202403,마라342856,1,0,9.28,36.54,23.21,31.46,45.24,35.01,25.74,30.85,34.16,59.34,86.24,160.52,168.98,114.79,158.29,237.78,481.89,505.27,567.5,427.15,388.33,237.69,211.64,73.58
202403,마라343844,1,0,3.5,115.95,121.95,21.5,3.93,0.0,0.0,2.59,0.0,3.93,0.0,7.86,11.79,0.0,3.93,3.93,7.36,7.28,85.09,7.2,59.71,52.68,36.45,0.0
202403,마라343849,1,0,29.11,8.45,14.51,22.79,47.32,46.65,51.59,152.01,32.76,89.45,50.73,38.05,40.35,73.39,41.12,85.33,101.86,84.91,58.83,113.09,203.38,158.27,46.17,7.8
202403,마라343856,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202403,마라344849,1,0,0.0,0.0,0.0,0.0,0.0,8.3,0.0,0.0,0.0,3.64,4.66,3.64,0.0,2.33,0.0,5.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
