STD_YM,region_pop,modal,purpose,modal_pop,modal_ratio
202403,2750173.8,0,1,494242.2,18.0
202403,2750173.8,0,2,226680.4,8.2
202403,2750173.8,0,4,411665.5,15.0
202403,2750173.8,1,1,230822.8,8.4
202403,2750173.8,1,2,143359.6,5.2
202403,2750173.8,1,4,204849.3,7.4
202403,2750173.8,2,1,156504.8,5.7
202403,2750173.8,2,2,90365.2,3.3
202403,2750173.8,2,4,111199.4,4.0
202403,2750173.8,3,1,222951.3,8.1
202403,2750173.8,3,2,83894.2,3.1
202403,2750173.8,3,4,129068.0,4.7
202403,2750173.8,4,1,3229.0,0.1
202403,2750173.8,4,2,545.0,0.0
202403,2750173.8,4,4,2678.0,0.1
202403,2750173.8,9,1,97152.5,3.5
202403,2750173.8,9,2,59806.7,2.2
202403,2750173.8,9,4,81159.9,3.0
