STD_YM,gID,purpose,weekday,T00,T01,T02,T03,T04,T05,T06,T07,T08,T09,T10,T11,T12,T13,T14,T15,T16,T17,T18,T19,T20,T21,T22,T23
202512,마라347861,1,0,10.07,20.84,4.09,7.59,4.1,4.03,0.0,3.79,0.0,0.0,7.59,3.5,0.0,0.0,0.0,21.68,10.25,24.48,25.04,22.04,57.63,66.87,49.08,19.58
202512,마라347862,1,0,3.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,18.79,19.65,3.84,19.11
202512,마라347863,1,0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,4.06,0.0,6.28,3.76,3.5,3.7
202512,마라347864,1,0,0.0,0.0,0.0,0.0,3.75,3.75,0.0,7.51,0.0,0.0,7.85,0.0,3.75,18.4,3.09,23.96,3.5,22.28,66.95,30.6,27.23,42.34,33.34,3.2
202512,마라347865,1,0,0.0,0.0,0.0,0.0,0.0,0.0,2.81,0.0,0.0,4.29,3.8,13.01,20.89,15.43,15.65,38.69,40.15,35.26,51.35,84.13,61.52,58.42,40.41,15.29
202512,마라347866,1,0,34.39,269.02,122.53,124.54,99.46,64.31,40.64,72.89,98.28,88.79,178.95,370.12,387.14,432.66,589.07,774.77,898.89,1306.41,1558.56,1234.4,1232.72,1143.75,928.91,221.27
202512,마라347869,1,0,0.0,0.0,4.87,4.16,0.0,0.0,6.46,0.0,2.3,0.0,11.21,18.22,66.23,47.27,29.15,52.32,83.3,100.91,193.55,149.06,119.21,61.83,37.21,19.95
202512,마라348855,1,0,32.72,107.11,75.1,58.65,77.55,51.65,62.19,46.58,52.31,67.62,106.86,193.64,280.37,349.65,435.69,615.23,800.85,1079.54,924.6,691.95,657.03,604.85,342.35,120.56
202512,마라348857,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.43,3.17,0.0,3.17,0.0,0.0,3.17,11.04,0.0,0.0
202512,마라348858,1,0,0.0,0.0,16.92,0.0,2.21,3.77,7.54,11.35,0.0,2.21,4.42,11.8,2.21,0.0,18.73,51.27,19.03,19.94,15.12,3.77,15.4,7.41,15.72,3.64
202512,마라348861,1,0,3.84,0.0,4.42,12.31,11.5,8.22,11.42,3.5,0.0,3.65,3.84,10.87,11.33,7.3,17.79,10.5,24.83,14.33,34.65,45.71,38.36,73.93,92.69,23.37
202512,마라348862,1,0,10.47,20.63,24.6,3.76,9.95,2.74,6.24,10.2,11.33,0.0,3.5,4.42,30.87,26.31,22.46,23.35,22.43,31.75,65.28,49.27,51.86,61.53,49.59,14.3
202512,마라348863,1,0,40.25,102.51,40.19,56.42,44.59,37.36,46.03,61.05,40.46,70.65,49.3,83.39,213.36,132.91,190.67,218.69,392.86,543.13,620.96,495.66,506.51,506.54,430.65,139.54
202512,마라348867,1,0,32.38,172.49,226.24,139.33,142.69,96.08,142.77,96.51,100.03,118.66,143.95,241.28,421.07,479.06,507.47,818.28,968.54,1291.53,1639.46,1559.77,1264.16,1437.24,886.11,156.11
202512,마라348868,1,0,0.0,4.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.22,3.38,8.22,3.38,6.76,3.38,16.9,25.84,36.54,47.56,51.92,4.16,31.2,43.94
202512,마라349849,1,0,3.69,2.8,2.69,0.0,0.0,0.0,2.8,21.59,2.8,6.52,0.0,3.74,0.0,7.48,0.0,0.0,7.57,0.0,0.0,0.0,4.03,8.06,7.33,0.0
202512,마라349860,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,7.0,2.71,0.0,4.29
202512,마라349862,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,0.0,0.0,3.4,0.0,0.0,0.0,6.8,3.13,0.0,0.0,0.0,0.0,16.17,6.8,3.4
202512,마라349863,1,0,3.93,10.32,15.32,7.46,3.8,16.33,11.63,24.9,12.41,19.44,21.79,18.29,23.28,40.22,29.67,30.14,93.6,114.19,188.79,124.76,79.94,134.61,82.2,34.85
202512,마라349864,1,0,59.87,260.99,214.55,113.72,115.76,96.58,94.24,130.03,183.99,168.66,241.49,507.33,540.66,596.66,726.31,987.89,1347.55,1722.47,2838.15,2082.03,1780.55,1822.94,1329.33,285.47
202512,마라349865,1,0,0.0,0.0,0.0,0.0,0.0,3.57,3.92,2.66,8.76,11.8,3.04,11.14,30.58,22.91,44.45,54.15,67.13,120.39,230.07,65.0,118.75,69.43,37.65,3.92
202512,마라349866,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6,0.0,3.8,3.8,0.0,0.0,0.0,0.0,6.0,10.4,3.93,0.0
202512,마라349867,1,0,3.5,3.5,0.0,3.5,3.5,0.0,0.0,3.26,3.25,3.5,3.25,33.2,10.99,0.0,15.24,62.43,49.62,48.69,99.15,49.63,8.78,44.18,66.51,3.75
202512,마라350849,1,0,0.0,3.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,4.07,4.07,12.21,4.5,8.14,4.07,4.07,0.0,4.15,0.0,11.99,0.0,0.0,0.0
202512,마라350852,1,0,28.58,3.68,60.97,28.92,38.06,62.31,49.66,108.87,34.8,45.32,64.78,58.13,48.91,47.36,43.82,69.59,50.82,186.78,100.73,92.43,138.89,55.65,53.11,24.38
202512,마라350855,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.84,5.98,3.92,0.0,0.0,2.06,0.0,0.0,8.24,0.0
202512,마라350858,1,0,0.0,0.0,0.0,4.08,0.0,3.8,19.24,3.8,0.0,0.0,3.5,11.76,7.84,11.52,11.64,7.72,19.12,23.44,14.84,29.98,40.42,19.36,15.3,0.0
202512,마라350861,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,11.07,3.69,3.69,7.09,13.6,10.49,10.49,9.88,6.8,7.38,0.0
202512,마라350863,1,0,0.0,0.0,0.0,0.0,0.0,27.09,0.0,2.75,0.0,7.3,0.0,16.92,9.15,2.82,0.0,2.82,0.0,0.0,10.77,22.25,26.04,50.83,47.73,51.05
202512,마라350864,1,0,121.83,530.42,360.68,264.09,183.58,150.61,212.9,289.62,204.31,278.5,401.82,632.94,1021.92,1104.46,1262.71,1782.87,2320.14,3362.54,4794.81,3760.34,3089.32,2924.7,2462.45,623.71
202512,마라350866,1,0,28.92,178.91,114.5,150.75,62.74,71.12,69.71,62.12,80.16,101.86,135.26,183.52,328.33,352.17,324.36,533.75,658.78,1063.01,1492.01,1118.18,951.68,970.92,885.99,164.16
202512,마라351854,1,0,36.24,143.74,90.39,121.85,109.31,107.58,60.29,96.52,56.42,62.78,93.33,189.17,216.21,252.32,283.52,535.2,565.07,714.57,814.38,620.07,604.38,573.84,390.61,118.63
202512,마라351855,1,0,0.0,0.0,0.0,0.0,0.0,0.0,4.41,13.26,0.0,0.0,3.65,3.51,4.42,6.48,17.15,4.5,6.37,7.02,21.48,12.41,24.13,22.27,3.51,2.72
202512,마라351856,1,0,83.22,204.72,107.32,75.62,72.36,65.73,76.63,113.77,93.99,137.48,211.18,227.17,347.81,272.94,401.56,560.12,649.16,839.38,1082.08,980.53,813.06,914.4,722.76,197.74
202512,마라351860,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.75,0.0,0.0,0.0
202512,마라351862,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.29,4.06,0.0,7.53,11.82,17.38,9.62
202512,마라351863,1,0,34.84,80.42,56.15,36.28,75.86,91.55,64.95,45.77,42.39,50.52,52.43,84.42,106.67,152.68,159.57,188.58,297.37,489.87,521.02,489.87,427.03,404.47,382.61,144.02
202512,마라351864,1,0,79.22,219.75,181.19,244.8,148.11,243.18,136.23,260.98,195.48,280.73,441.29,706.57,968.55,1014.6,1328.88,1814.7,2473.67,3275.06,3534.12,2382.32,2263.03,2071.4,1839.28,538.92
202512,마라351865,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.84,4.42,17.68,4.42,0.0,26.52,13.26,8.84,17.68,8.84,0.0
202512,마라351866,1,0,0.0,0.0,0.0,0.0,2.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,3.57,0.0,2.54,3.57,2.54,3.57,0.0
202512,마라351867,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,10.5,3.5,0.0,0.0,0.0,0.0,3.71,0.0,0.0,7.42,7.21,7.42
202512,마라352855,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.19,12.57,12.3,8.38,0.0,0.0,0.0,0.0,4.19,7.59,7.72,0.0,3.4,0.0,2.06
202512,마라352858,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.23,3.23,0.0,0.0,0.0,0.0,0.0,6.19,3.23,7.0,31.5,10.16,11.81,2.72,14.86,16.75,2.69
202512,마라352861,1,0,60.99,141.44,94.82,63.73,84.14,76.42,79.95,66.46,95.75,64.68,97.28,109.75,139.46,127.49,171.49,195.13,299.91,474.17,738.65,470.97,455.8,499.95,435.51,125.74
202512,마라352862,1,0,242.08,885.93,617.45,556.56,448.44,362.13,339.43,446.8,455.05,534.88,692.57,1203.78,1606.74,1843.05,1875.02,2894.91,3902.23,5215.21,6709.06,6125.98,5358.5,5339.66,4158.67,1266.22
202512,마라352863,1,0,3.93,14.2,0.0,0.0,0.0,0.0,3.4,0.0,0.0,3.7,0.0,0.0,0.0,0.0,7.0,7.4,0.0,25.9,11.1,11.1,32.4,24.28,19.65,7.33
202512,마라352864,1,0,0.0,0.0,0.0,3.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.98,7.82,4.42,3.84,8.11,8.84,7.89,37.24,43.32,46.58,56.62,54.52,8.26
202512,마라352865,1,0,102.99,380.23,221.57,95.27,141.41,121.32,104.99,154.1,63.37,173.0,256.45,473.92,498.83,739.91,797.96,907.76,1040.47,1993.17,2083.76,1607.59,1442.82,1185.5,752.72,236.24
202512,마라352866,1,0,2.91,6.52,11.26,8.21,7.2,29.55,23.75,11.02,7.26,39.39,34.4,34.98,27.55,43.68,42.7,69.23,109.82,215.25,235.39,233.77,218.42,229.66,217.96,63.53
202512,마라353850,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.63,10.39,6.95,3.27,7.78,11.67,10.77,15.29,11.46,18.1,3.44,0.0,3.44,0.0,0.0,0.0,0.0
202512,마라353852,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.16,2.84,0.0,2.84,3.16,8.52,0.0,8.52,11.73,28.45,25.63,12.32,6.7
202512,마라353856,1,0,22.74,143.42,43.64,46.35,50.09,50.75,74.99,139.31,84.14,199.01,139.53,190.39,270.93,269.47,301.17,445.02,684.32,994.5,1139.28,770.26,568.8,635.9,415.86,101.19
202512,마라353857,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.86,35.37,7.86,0.0,0.0,3.93,0.0,0.0,0.0
202512,마라353858,1,0,108.55,387.53,250.59,154.82,125.98,156.92,226.61,134.46,353.3,579.4,752.18,1226.04,1425.84,1751.43,1888.28,2934.94,3630.29,4625.87,4934.36,3690.39,3499.24,3536.86,2294.97,510.86
202512,마라353860,1,0,65.98,280.33,214.59,197.8,171.77,203.71,112.8,148.47,144.19,195.73,299.62,477.13,709.14,721.98,819.3,1142.28,1645.01,2329.34,2833.17,2434.42,1949.38,2196.09,1607.67,404.95
202512,마라353861,1,0,0.0,3.93,7.68,7.68,0.0,0.0,0.0,8.84,0.0,0.0,3.77,12.1,16.05,23.91,8.35,39.48,36.69,45.35,79.55,19.12,56.66,49.79,23.42,7.73
202512,마라353862,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,10.14,6.64,0.0,3.5,0.0,9.93,6.66
202512,마라353865,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,7.25,7.0,7.43,7.25,15.72,11.79,3.93,19.22,11.79,3.93
202512,마라354852,1,0,31.93,177.6,142.36,95.03,75.37,110.13,144.59,162.53,270.68,237.78,230.99,541.78,664.78,571.17,623.88,866.22,982.79,1169.42,1686.99,1207.7,944.91,1083.84,667.93,150.08
202512,마라354854,1,0,2.72,2.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.65,11.29,26.23,15.6,7.3,8.3,24.44,105.43,48.37,18.82,33.33,6.37,2.72,3.65,0.0
202512,마라354856,1,0,0.0,0.0,0.0,0.0,0.0,3.5,0.0,3.69,11.07,0.0,3.69,8.3,3.69,7.84,7.84,16.98,9.45,7.19,60.21,43.42,3.92,11.18,11.39,3.65
202512,마라354859,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.06,16.24,4.06,8.12,4.06,20.3,8.12,12.18,4.06
202512,마라354860,1,0,0.0,34.55,19.76,7.49,3.4,3.4,11.79,3.4,9.98,8.74,21.01,9.94,28.2,49.99,113.11,73.76,169.73,166.73,193.89,143.65,165.02,125.65,86.52,60.94
