STD_YM,fac_name,fac_opr_date,visit_cnt,life_visit_cnt
202511,동매누리 작은도서관,30,42910.0,16838.5
202511,동매누리행복센터,30,90258.0,37436.0
202511,동매산둘레길,30,97002.5,36312.5
202511,무지개작은도서관,30,77357.0,33176.5
202511,보림공원,30,77357.0,33176.5
202511,사하구청 제2청사,30,64904.0,18336.5
202511,수풀작은도서관,30,119899.5,44957.5
202511,신남초등학교,30,58128.0,19943.0
202511,신평골목시장,30,45615.5,18557.0
202511,장림 롯데마트,30,10846.5,3258.5
202511,장림1동행정복지센터,30,77357.0,33176.5
202511,장림2동 행정복지센터,30,29081.5,11452.0
202511,장림공원,30,80076.5,31878.0
202511,장림생태공원,30,88347.0,22095.5
202511,하하센터,30,121478.0,33148.5
202511,효림초등학교,30,9569.0,6709.5
