STD_YM,fac_name,fac_opr_date,visit_cnt,life_visit_cnt
202503,개금3동 주민센터,31,93359.1,24253.1
202503,개금종합사회복지관,31,27608.1,13854.4
202503,개금테마공원,31,361748.3,143065.7
202503,개성고등학교,31,65321.8,35377.4
202503,당감4동 주민센터,31,4153.0,3681.3
202503,당감골목시장,31,57169.2,22288.1
202503,당감사회복지관,31,116106.1,44329.5
202503,당감행복마루센터,31,76963.0,31189.1
202503,백양가족공원,31,52296.8,22667.9
202503,부산진구 동네 청년아루,31,76801.9,31030.5
202503,부산진구 생활문화센터,31,249177.5,105825.5
202503,부산진구 어린이청소년 도서관,31,42747.5,17648.6
202503,부산진구여성가족문화센터,31,79371.4,22953.1
202503,새당감시장,31,117267.3,44511.3
202503,한국신발관,31,103713.9,18788.9
